Team,HR,R,SB,BB%,K%,BABIP,OBP,wOBA,wRC+,BsR,Off,Def,WAR,wins,LossesL,W-L%,WHIP,off.whip
ARI,72,395,27,0.096,0.241,0.306,0.319,0.307,88,2.7,-49.8,9.8,7.5,29,48,0.377,1.36,1.59122085
ATL,221,701,64,0.091,0.24,0.284,0.317,0.323,100,3.2,2.3,-8.3,17.6,22,58,0.275,1.188,1.445799458
BAL,124,416,39,0.073,0.233,0.293,0.308,0.313,99,-1.7,-8.3,-31.9,8.6,30,48,0.385,1.295,1.436213992
BOS,173,605,30,0.082,0.228,0.31,0.33,0.339,112,0.5,65,-7.7,20.9,32,47,0.405,1.37,1.372628726
CHC,80,304,30,0.085,0.258,0.287,0.303,0.298,85,-7,-60.3,31,6.2,39,38,0.506,1.146,1.508130081
CHW,150,575,44,0.101,0.241,0.3,0.33,0.327,109,3.4,52,-5.9,19.5,47,32,0.595,1.306,1.257028112
CIN,160,586,26,0.091,0.232,0.304,0.335,0.333,104,-11.3,13.7,14.1,17.4,48,31,0.608,1.412,1.475609756
CLE,114,434,75,0.075,0.236,0.282,0.3,0.3,88,10.7,-43.1,8.4,9,40,36,0.526,1.356,1.670634921
COL,128,530,64,0.083,0.226,0.297,0.316,0.313,80,18.2,-94.5,62.1,11.2,40,38,0.513,1.188,1.555555556
DET,124,495,63,0.088,0.256,0.308,0.317,0.315,98,2.2,-6,-39.9,9,33,43,0.434,1.275,1.314128944
HOU,145,562,23,0.091,0.199,0.304,0.34,0.339,120,-10.1,88.8,-5.8,22,45,32,0.584,1.39,1.448460509
KCR,101,424,79,0.07,0.215,0.292,0.304,0.301,88,9.7,-43,1.4,8.6,34,45,0.43,1.169,1.356862745
LAA,145,554,53,0.075,0.234,0.302,0.315,0.316,102,-0.5,8.5,-27.6,13.5,48,31,0.608,1.182,1.251322751
LAD,188,692,66,0.095,0.222,0.294,0.334,0.331,109,4.9,63.6,24.4,25.7,47,33,0.588,1.471,1.305555556
MIA,88,361,51,0.077,0.255,0.295,0.3,0.291,84,-0.4,-71.5,32.7,7.8,25,54,0.317,1.102,1.37124183
MIL,172,609,60,0.093,0.244,0.283,0.316,0.314,94,5.8,-29.5,60.5,19.3,36,40,0.474,1.387,1.401606426
MIN,149,495,34,0.087,0.233,0.281,0.312,0.316,100,0.1,-2,-16.9,12.1,47,33,0.588,1.152,1.331994645
NYM,139,471,42,0.085,0.245,0.289,0.312,0.305,93,-12.8,-50.4,37.5,13.1,33,44,0.429,1.379,1.302777778
NYY,179,607,60,0.111,0.24,0.285,0.33,0.32,103,-8.7,10.3,-12.6,17.6,50,28,0.641,1.467,1.33601071
OAK,155,612,75,0.091,0.215,0.29,0.328,0.323,108,8,55.7,9.9,23.1,38,41,0.481,1.462,1.352537723
PHI,148,564,64,0.091,0.236,0.292,0.318,0.314,95,7.1,-24.6,24.9,15.2,37,40,0.48,1.109,1.306559572
PIT,86,361,29,0.088,0.231,0.278,0.3,0.29,80,1.3,-90.4,16.7,4.5,41,38,0.519,1.352,1.263227513
SDP,145,617,97,0.097,0.211,0.3,0.333,0.325,104,-1.2,23.1,0.6,18.4,38,38,0.5,1.371,1.344444444
SEA,152,503,53,0.088,0.256,0.271,0.299,0.299,92,0.8,-41,-15.6,9.4,42,33,0.56,1.248,1.470189702
SFG,190,616,51,0.099,0.24,0.298,0.332,0.335,111,-3.3,60.2,24,23.6,38,40,0.487,1.288,1.365853659
STL,130,474,58,0.08,0.222,0.285,0.311,0.308,93,3.5,-33.5,35.5,14,40,34,0.54,1.169,1.374338624
TBR,181,644,66,0.101,0.251,0.29,0.324,0.324,110,4.9,60.5,-9.3,21.6,46,33,0.582,1.297,1.288065844
TEX,92,353,61,0.067,0.229,0.27,0.284,0.28,76,-5.7,-110,16.9,3,33,44,0.429,1.227,1.34248366
TOR,169,585,52,0.081,0.21,0.309,0.333,0.342,116,-3,77.1,-8.8,21.1,48,31,0.608,1.211,1.205128205
WSN,70,304,21,0.097,0.236,0.292,0.321,0.306,87,-10.7,-53.1,7,4,42,37,0.532,1.258,1.216802168
,,,,,,,,,,,,,,,,,,-0.150659291
