Column1,Column2,Column3,Column4
Chicago White Sox,3,Los Angeles Angels,4
,,,
Pittsburgh Pirates,5,Chicago Cubs,3
,,,
St. Louis Cardinals,11,Cincinnati Reds,6
,,,
Los Angeles Dodgers,5,Colorado Rockies,8
,,,
Cleveland Indians,2,Detroit Tigers,3
,,,
Texas Rangers,10,Kansas City Royals,14
,,,
Tampa Bay Rays,1,Miami Marlins,0
,,,
Minnesota Twins,5,Milwaukee Brewers,6
,,,
Toronto Blue Jays,3,@ New York Yankees,2
,,,
Houston Astros,8,Oakland Athletics,1
,,,
Atlanta Braves,2,Philadelphia Phillies,3
,,,
Arizona Diamondbacks,7,San Diego Padres,8
,,,
San Francisco Giants,7,Seattle Mariners,8
,,,
» 2021-04-01 Standings & Scores,,,
,,,
"Friday, April 2, 2021",,,
,,,
Chicago White Sox,12,Los Angeles Angels,8
,,,
Baltimore Orioles,3,Boston Red Sox,0
,,,
Los Angeles Dodgers,11,Colorado Rockies,6
,,,
Tampa Bay Rays,6,Miami Marlins,4
,,,
Houston Astros,9,Oakland Athletics,5
,,,
Arizona Diamondbacks,2,San Diego Padres,4
,,,
San Francisco Giants,6,Seattle Mariners,3
,,,
» 2021-04-02 Standings & Scores,,,
,,,
"Saturday, April 3, 2021",,,
,,,
Chicago White Sox,3,Los Angeles Angels,5
,,,
Baltimore Orioles,4,Boston Red Sox,2
,,,
Pittsburgh Pirates,1,Chicago Cubs,5
,,,
St. Louis Cardinals,6,Cincinnati Reds,9
,,,
Los Angeles Dodgers,6,Colorado Rockies,5
,,,
Cleveland Indians,2,Detroit Tigers,5
,,,
Texas Rangers,4,Kansas City Royals,11
,,,
Tampa Bay Rays,7,Miami Marlins,12
,,,
Minnesota Twins,2,Milwaukee Brewers,0
,,,
Toronto Blue Jays,3,@ New York Yankees,5
,,,
Houston Astros,9,Oakland Athletics,1
,,,
Atlanta Braves,0,Philadelphia Phillies,4
,,,
Arizona Diamondbacks,0,San Diego Padres,7
,,,
San Francisco Giants,0,Seattle Mariners,4
,,,
» 2021-04-03 Standings & Scores,,,
,,,
"Sunday, April 4, 2021",,,
,,,
Chicago White Sox,4,Los Angeles Angels,7
,,,
Baltimore Orioles,11,Boston Red Sox,3
,,,
Pittsburgh Pirates,3,Chicago Cubs,4
,,,
St. Louis Cardinals,1,Cincinnati Reds,12
,,,
Los Angeles Dodgers,4,Colorado Rockies,2
,,,
Cleveland Indians,9,Detroit Tigers,3
,,,
Texas Rangers,7,Kansas City Royals,3
,,,
Minnesota Twins,8,Milwaukee Brewers,2
,,,
Toronto Blue Jays,3,@ New York Yankees,1
,,,
Houston Astros,9,Oakland Athletics,2
,,,
Atlanta Braves,1,Philadelphia Phillies,2
,,,
Arizona Diamondbacks,3,San Diego Padres,1
,,,
» 2021-04-04 Standings & Scores,,,
,,,
"Monday, April 5, 2021",,,
,,,
Houston Astros,6,Los Angeles Angels,7
,,,
Tampa Bay Rays,2,Boston Red Sox,11
,,,
Milwaukee Brewers,3,Chicago Cubs,5
,,,
Pittsburgh Pirates,3,Cincinnati Reds,5
,,,
Kansas City Royals,3,Cleveland Indians,0
,,,
Minnesota Twins,15,Detroit Tigers,6
,,,
St. Louis Cardinals,4,Miami Marlins,1
,,,
Baltimore Orioles,0,New York Yankees,7
,,,
Los Angeles Dodgers,10,Oakland Athletics,3
,,,
New York Mets,3,Philadelphia Phillies,5
,,,
San Francisco Giants,3,San Diego Padres,2
,,,
Chicago White Sox,6,Seattle Mariners,0
,,,
Toronto Blue Jays,6,@ Texas Rangers,2
,,,
» 2021-04-05 Standings & Scores,,,
,,,
"Tuesday, April 6, 2021",,,
,,,
Houston Astros,4,Los Angeles Angels,2
,,,
Tampa Bay Rays,5,Boston Red Sox,6
,,,
Milwaukee Brewers,4,Chicago Cubs,0
,,,
Pittsburgh Pirates,1,Cincinnati Reds,14
,,,
Arizona Diamondbacks,10,Colorado Rockies,8
,,,
Minnesota Twins,3,Detroit Tigers,4
,,,
St. Louis Cardinals,4,Miami Marlins,2
,,,
Baltimore Orioles,2,New York Yankees,7
,,,
Los Angeles Dodgers,5,Oakland Athletics,1
,,,
New York Mets,8,Philadelphia Phillies,4
,,,
San Francisco Giants,1,San Diego Padres,3
,,,
Chicago White Sox,10,Seattle Mariners,4
,,,
Toronto Blue Jays,4,@ Texas Rangers,7
,,,
Atlanta Braves,5,Washington Nationals,6
,,,
» 2021-04-06 Standings & Scores,,,
,,,
"Wednesday, April 7, 2021",,,
,,,
Tampa Bay Rays,2,Boston Red Sox,9
,,,
Milwaukee Brewers,4,Chicago Cubs,2
,,,
Pittsburgh Pirates,4,Cincinnati Reds,11
,,,
Kansas City Royals,2,Cleveland Indians,4
,,,
Arizona Diamondbacks,0,Colorado Rockies,8
,,,
Minnesota Twins,3,Detroit Tigers,2
,,,
St. Louis Cardinals,7,Miami Marlins,0
,,,
Baltimore Orioles,4,New York Yankees,3
,,,
Los Angeles Dodgers,3,Oakland Athletics,4
,,,
New York Mets,2,Philadelphia Phillies,8
,,,
San Francisco Giants,3,San Diego Padres,2
,,,
Chicago White Sox,4,Seattle Mariners,8
,,,
Toronto Blue Jays,1,@ Texas Rangers,2
,,,
Atlanta Braves,7,Washington Nationals,6
,,,
Atlanta Braves,2,Washington Nationals,0
,,,
» 2021-04-07 Standings & Scores,,,
,,,
"Thursday, April 8, 2021",,,
,,,
Boston Red Sox,7,Baltimore Orioles,3
,,,
Kansas City Royals,0,Chicago White Sox,6
,,,
Arizona Diamondbacks,3,Colorado Rockies,7
,,,
Oakland Athletics,2,Houston Astros,6
,,,
Seattle Mariners,2,Minnesota Twins,10
,,,
Miami Marlins,2,New York Mets,3
,,,
Chicago Cubs,4,Pittsburgh Pirates,2
,,,
Milwaukee Brewers,1,St. Louis Cardinals,3
,,,
Los Angeles Angels,7,Toronto Blue Jays,5
,,,
» 2021-04-08 Standings & Scores,,,
,,,
"Friday, April 9, 2021",,,
,,,
Cincinnati Reds,6,Arizona Diamondbacks,5
,,,
Philadelphia Phillies,1,Atlanta Braves,8
,,,
Detroit Tigers,1,Cleveland Indians,4
,,,
Oakland Athletics,6,Houston Astros,2
,,,
Washington Nationals,0,Los Angeles Dodgers,1
,,,
Colorado Rockies,1,San Francisco Giants,3
,,,
New York Yankees,5,Tampa Bay Rays,10
,,,
San Diego Padres,3,Texas Rangers,0
,,,
Los Angeles Angels,7,Toronto Blue Jays,1
,,,
» 2021-04-09 Standings & Scores,,,
,,,
"Saturday, April 10, 2021",,,
,,,
Cincinnati Reds,3,Arizona Diamondbacks,8
,,,
Philadelphia Phillies,4,Atlanta Braves,5
,,,
Boston Red Sox,6,Baltimore Orioles,4
,,,
Detroit Tigers,3,Cleveland Indians,11
,,,
Oakland Athletics,7,Houston Astros,3
,,,
Washington Nationals,5,Los Angeles Dodgers,9
,,,
Seattle Mariners,4,Minnesota Twins,3
,,,
Miami Marlins,3,New York Mets,0
,,,
Chicago Cubs,2,Pittsburgh Pirates,8
,,,
Colorado Rockies,3,San Francisco Giants,4
,,,
Milwaukee Brewers,9,St. Louis Cardinals,5
,,,
New York Yankees,0,Tampa Bay Rays,4
,,,
San Diego Padres,7,Texas Rangers,4
,,,
Los Angeles Angels,1,Toronto Blue Jays,15
,,,
» 2021-04-10 Standings & Scores,,,
,,,
"Sunday, April 11, 2021",,,
,,,
Cincinnati Reds,0,Arizona Diamondbacks,7
,,,
Philadelphia Phillies,7,Atlanta Braves,6
,,,
Boston Red Sox,14,Baltimore Orioles,9
,,,
Kansas City Royals,4,Chicago White Sox,3
,,,
Detroit Tigers,2,Cleveland Indians,5
,,,
Washington Nationals,0,Los Angeles Dodgers,3
,,,
Seattle Mariners,8,Minnesota Twins,6
,,,
Chicago Cubs,1,Pittsburgh Pirates,7
,,,
Colorado Rockies,0,San Francisco Giants,4
,,,
Milwaukee Brewers,9,St. Louis Cardinals,3
,,,
New York Yankees,8,Tampa Bay Rays,4
,,,
San Diego Padres,2,Texas Rangers,0
,,,
» 2021-04-11 Standings & Scores,,,
,,,
"Monday, April 12, 2021",,,
,,,
Oakland Athletics,9,Arizona Diamondbacks,5
,,,
Miami Marlins,5,Atlanta Braves,3
,,,
Cleveland Indians,3,Chicago White Sox,4
,,,
Detroit Tigers,6,Houston Astros,2
,,,
Los Angeles Angels,10,Kansas City Royals,3
,,,
Chicago Cubs,3,Milwaukee Brewers,6
,,,
San Diego Padres,6,Pittsburgh Pirates,2
,,,
Cincinnati Reds,3,San Francisco Giants,0
,,,
Washington Nationals,5,St. Louis Cardinals,2
,,,
Texas Rangers,0,Tampa Bay Rays,1
,,,
New York Yankees,3,Toronto Blue Jays,1
,,,
» 2021-04-12 Standings & Scores,,,
,,,
"Tuesday, April 13, 2021",,,
,,,
Oakland Athletics,7,Arizona Diamondbacks,5
,,,
Miami Marlins,14,Atlanta Braves,8
,,,
Seattle Mariners,4,Baltimore Orioles,3
,,,
Seattle Mariners,6,Baltimore Orioles,7
,,,
Cleveland Indians,2,Chicago White Sox,0
,,,
Detroit Tigers,8,Houston Astros,2
,,,
Los Angeles Angels,2,Kansas City Royals,3
,,,
Colorado Rockies,0,Los Angeles Dodgers,7
,,,
Chicago Cubs,3,Milwaukee Brewers,2
,,,
Boston Red Sox,4,Minnesota Twins,2
,,,
Philadelphia Phillies,3,New York Mets,4
,,,
Philadelphia Phillies,0,New York Mets,4
,,,
San Diego Padres,4,Pittsburgh Pirates,8
,,,
Cincinnati Reds,6,San Francisco Giants,7
,,,
Washington Nationals,3,St. Louis Cardinals,14
,,,
Texas Rangers,8,Tampa Bay Rays,3
,,,
New York Yankees,3,Toronto Blue Jays,7
,,,
» 2021-04-13 Standings & Scores,,,
,,,
"Wednesday, April 14, 2021",,,
,,,
Miami Marlins,6,Atlanta Braves,5
,,,
Cleveland Indians,0,Chicago White Sox,8
,,,
