"Season","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2019","NYY",".306","1.12","21.1%","41.7%","37.2%","10.3%","19.8%","109","6.3%","7","25.9%","40.7%","34.4%","24.9%","16.8%","44.3%","38.9%"
"2020","CHW",".314","1.35","20.9%","45.4%","33.6%","11.0%","19.2%","64","9.5%","0","0.0%","36.7%","36.0%","27.2%","16.9%","49.9%","33.2%"
"2020","NYY",".280","1.27","21.9%","43.8%","34.4%","7.5%","19.0%","39","6.2%","4","40.0%","43.0%","31.1%","25.9%","16.3%","49.7%","34.0%"
"2019","CHC",".297","1.34","20.2%","45.8%","34.0%","8.7%","18.8%","112","6.1%","14","21.9%","39.5%","34.8%","25.7%","18.1%","46.8%","35.0%"
"2020","LAD",".276","0.96","20.9%","38.8%","40.3%","6.6%","18.6%","52","8.5%","4","44.4%","41.6%","34.1%","24.3%","12.9%","45.1%","42.0%"
"2020","SDP",".291","1.27","21.4%","44.0%","34.6%","7.9%","18.3%","46","7.0%","7","31.8%","41.3%","33.8%","25.0%","15.0%","46.5%","38.4%"
"2020","CIN",".245","1.06","21.7%","40.4%","37.9%","5.4%","18.1%","25","4.7%","1","20.0%","42.7%","35.1%","22.1%","15.2%","50.8%","34.0%"
"2020","ATL",".322","1.00","23.7%","38.1%","38.2%","7.0%","17.9%","42","7.3%","1","33.3%","41.1%","33.5%","25.4%","16.0%","48.2%","35.8%"
"2019","LAD",".291","1.07","22.0%","40.4%","37.6%","8.7%","17.8%","115","6.8%","7","9.0%","41.3%","34.2%","24.5%","15.8%","41.9%","42.3%"
"2019","MIL",".296","1.24","21.1%","43.7%","35.3%","9.4%","17.8%","102","5.9%","10","21.7%","38.2%","35.0%","26.8%","17.1%","42.1%","40.8%"
"2019","MIN",".300","0.98","22.1%","38.6%","39.3%","10.6%","17.7%","102","6.0%","9","34.6%","43.6%","32.8%","23.7%","15.7%","43.0%","41.4%"
"2020","NYM",".320","1.45","21.8%","46.3%","31.9%","10.0%","17.6%","52","7.3%","4","80.0%","39.1%","35.7%","25.2%","17.3%","52.0%","30.7%"
"2017","MIL",".308","1.37","21.2%","45.5%","33.3%","8.4%","17.3%","109","6.2%","18","22.8%","39.2%","35.1%","25.7%","18.9%","46.6%","34.5%"
"2019","HOU",".296","1.11","21.5%","41.2%","37.3%","9.5%","17.3%","120","6.5%","13","31.7%","42.6%","34.2%","23.2%","16.4%","43.7%","39.9%"
"2020","MIL",".278","1.34","23.8%","43.6%","32.6%","8.9%","17.1%","24","4.1%","2","50.0%","41.0%","36.0%","23.0%","16.5%","51.6%","31.9%"
"2018","NYY",".285","1.09","20.2%","41.6%","38.2%","10.7%","16.9%","130","7.6%","13","38.2%","41.7%","34.3%","24.0%","17.7%","45.3%","37.0%"
"2019","ATL",".305","1.14","23.6%","40.6%","35.8%","8.9%","16.9%","122","7.3%","4","10.3%","41.7%","32.5%","25.8%","16.1%","42.6%","41.3%"
"2019","NYM",".299","1.33","20.7%","45.2%","34.0%","8.2%","16.8%","119","6.2%","9","13.4%","39.4%","35.9%","24.8%","16.3%","48.9%","34.9%"
"2012","NYY",".293","1.36","21.2%","45.5%","33.4%","11.1%","16.8%","124","6.2%","17","28.8%","41.7%","35.0%","23.3%","14.4%","55.0%","30.6%"
"2020","TOR",".297","1.22","22.6%","42.6%","34.8%","8.3%","16.6%","46","7.1%","3","18.8%","41.0%","33.7%","25.3%","15.4%","51.4%","33.2%"
"2020","MIN",".283","1.01","22.0%","39.3%","38.7%","10.0%","16.6%","39","7.0%","5","71.4%","41.1%","33.5%","25.4%","18.0%","49.3%","32.7%"
"2019","SDP",".293","1.32","19.4%","45.8%","34.8%","12.0%","16.6%","123","7.1%","25","32.5%","40.8%","35.3%","23.9%","19.4%","41.6%","39.0%"
"2020","TBR",".300","1.23","21.5%","43.3%","35.2%","10.5%","16.5%","43","7.2%","5","83.3%","44.3%","33.2%","22.5%","17.1%","48.2%","34.7%"
"2018","MIL",".302","1.42","21.7%","46.0%","32.3%","9.7%","16.5%","130","6.9%","13","21.3%","39.0%","36.1%","24.9%","18.6%","42.8%","38.5%"
"2017","TEX",".291","1.18","19.4%","43.7%","36.9%","11.1%","16.3%","109","6.3%","24","39.3%","43.6%","33.7%","22.7%","18.3%","48.1%","33.6%"
"2021","CIN",".298","1.25","22.6%","43.1%","34.4%","8.8%","16.1%","104","6.9%","6","11.5%","41.2%","33.9%","24.9%","15.2%","51.3%","33.5%"
"2021","ATL",".283","1.06","20.8%","40.7%","38.5%","8.7%","16.0%","104","7.4%","6","13.6%","41.8%","34.8%","23.3%","15.8%","51.0%","33.3%"
"2019","OAK",".282","1.08","21.2%","40.8%","37.9%","11.4%","15.9%","101","5.8%","5","31.3%","42.5%","33.9%","23.5%","15.8%","43.1%","41.0%"
"2019","TEX",".304","1.21","22.0%","42.7%","35.3%","9.2%","15.9%","105","6.2%","20","35.7%","41.1%","33.3%","25.6%","15.3%","43.5%","41.2%"
"2020","CHC",".270","1.34","19.6%","46.1%","34.3%","10.8%","15.9%","48","7.7%","5","55.6%","42.3%","36.2%","21.5%","16.1%","49.3%","34.6%"
"2021","SFG",".293","1.04","21.8%","39.8%","38.4%","8.6%","15.8%","87","6.3%","15","25.9%","41.1%","34.8%","24.0%","15.2%","53.2%","31.7%"
"2019","TOR",".280","1.01","21.0%","39.8%","39.2%","11.2%","15.8%","91","5.7%","8","23.5%","44.3%","32.8%","22.9%","17.9%","44.2%","37.8%"
"2017","TBR",".296","1.18","20.0%","43.4%","36.6%","10.0%","15.8%","117","6.8%","13","24.5%","40.8%","34.6%","24.6%","19.0%","46.5%","34.6%"
"2019","SEA",".287","1.05","20.8%","40.5%","38.7%","9.7%","15.7%","109","6.8%","5","13.5%","39.5%","33.8%","26.7%","19.6%","47.8%","32.6%"
"2017","ARI",".306","1.31","20.2%","45.3%","34.5%","9.0%","15.7%","119","6.5%","13","19.7%","38.2%","36.6%","25.2%","17.4%","48.1%","34.5%"
"2021","CHC",".288","1.19","19.5%","43.7%","36.8%","10.9%","15.7%","97","6.8%","8","14.5%","41.1%","34.8%","24.1%","17.3%","50.8%","31.9%"
"2016","BAL",".291","1.11","19.2%","42.4%","38.4%","12.2%","15.6%","135","7.6%","10","27.0%","41.6%","33.8%","24.6%","20.3%","47.0%","32.7%"
"2017","CHC",".302","1.30","19.6%","45.5%","34.9%","9.1%","15.6%","127","6.8%","19","24.1%","41.9%","34.3%","23.8%","18.5%","50.3%","31.2%"
"2016","MIL",".304","1.42","20.3%","46.7%","32.9%","8.1%","15.6%","106","6.0%","25","25.5%","36.7%","36.3%","27.0%","18.8%","48.8%","32.4%"
"2019","CIN",".288","1.15","22.1%","41.7%","36.3%","10.1%","15.5%","95","5.7%","5","9.6%","40.1%","34.0%","25.9%","17.6%","44.7%","37.7%"
"2016","SEA",".297","1.38","19.9%","46.5%","33.6%","9.7%","15.5%","114","5.7%","33","38.4%","39.4%","35.2%","25.4%","19.1%","49.6%","31.3%"
"2021","TOR",".298","1.08","20.9%","41.0%","38.1%","10.8%","15.5%","118","7.8%","7","35.0%","40.6%","33.8%","25.6%","15.1%","51.6%","33.3%"
"2017","NYY",".304","1.16","20.4%","42.8%","36.8%","10.5%","15.4%","148","8.2%","15","36.6%","41.4%","33.6%","25.0%","20.0%","49.8%","30.2%"
"2019","COL",".321","1.22","22.5%","42.5%","35.0%","9.0%","15.4%","102","5.8%","14","14.9%","38.1%","35.1%","26.8%","16.8%","46.9%","36.3%"
"2019","TBR",".306","1.31","21.5%","44.5%","34.0%","9.5%","15.4%","127","6.9%","6","27.3%","39.1%","36.3%","24.5%","16.5%","43.7%","39.8%"
"2018","COL",".304","1.38","20.9%","45.9%","33.2%","8.6%","15.3%","108","5.7%","20","22.7%","37.0%","36.9%","26.1%","18.1%","47.1%","34.7%"
"2019","BOS",".313","1.18","20.9%","42.8%","36.4%","8.5%","15.3%","132","7.0%","5","15.2%","40.0%","34.2%","25.8%","15.3%","47.8%","36.9%"
"2017","BAL",".306","1.22","20.4%","43.7%","35.9%","10.7%","15.2%","149","8.0%","14","40.0%","41.1%","34.9%","24.1%","19.4%","47.0%","33.6%"
"2021","MIN",".281","1.17","20.5%","42.9%","36.6%","10.4%","15.1%","78","5.1%","5","22.7%","43.3%","33.4%","23.2%","15.5%","50.6%","33.8%"
"2005","CIN",".302","1.26","21.6%","43.7%","34.7%","10.2%","15.0%","104","5.6%","17","20.2%","41.9%","30.8%","27.3%","14.5%","55.0%","30.5%"
"2021","WSN",".305","1.54","22.2%","47.2%","30.6%","8.2%","15.0%","88","5.3%","10","13.5%","37.3%","38.1%","24.6%","16.0%","52.4%","31.7%"
"2015","TOR",".298","1.26","19.7%","44.8%","35.4%","14.1%","15.0%","117","6.0%","22","25.9%","43.3%","32.3%","24.4%","18.7%","51.6%","29.6%"
"2020","BOS",".321","1.27","20.1%","44.8%","35.1%","7.6%","14.9%","59","8.5%","2","28.6%","39.3%","37.0%","23.7%","16.1%","49.6%","34.3%"
"2020","LAA",".284","1.15","20.6%","42.5%","36.9%","12.1%","14.9%","44","6.7%","0","0.0%","42.7%","33.1%","24.1%","14.5%","51.5%","34.0%"
"2017","LAD",".293","1.16","20.1%","42.9%","37.0%","8.0%","14.8%","104","6.0%","11","17.5%","40.1%","34.3%","25.6%","16.3%","48.3%","35.5%"
"2021","NYY",".287","1.20","19.5%","43.9%","36.6%","9.8%","14.8%","89","6.1%","10","31.3%","39.2%","34.6%","26.2%","16.5%","52.1%","31.4%"
"2018","LAD",".294","1.05","21.4%","40.2%","38.3%","10.6%","14.8%","104","6.2%","5","6.8%","41.8%","33.9%","24.3%","17.2%","43.9%","38.9%"
"2019","WSN",".306","1.11","21.1%","41.6%","37.4%","10.5%","14.8%","115","6.6%","30","26.3%","41.8%","32.9%","25.3%","18.4%","45.5%","36.1%"
"2020","PHI",".299","1.07","20.9%","40.9%","38.1%","9.9%","14.7%","58","9.7%","9","32.1%","39.9%","34.9%","25.2%","17.6%","49.5%","32.9%"
"2017","MIA",".313","1.62","19.8%","49.5%","30.6%","9.6%","14.7%","139","6.5%","22","21.4%","37.3%","35.9%","26.8%","21.0%","49.6%","29.4%"
"2015","HOU",".292","1.08","20.1%","41.5%","38.4%","10.0%","14.7%","137","8.1%","20","32.8%","42.9%","33.2%","23.9%","18.5%","51.0%","30.5%"
"2021","CHW",".308","1.39","21.1%","46.0%","32.9%","6.8%","14.6%","128","8.1%","6","17.1%","38.5%","34.9%","26.5%","15.6%","52.1%","32.2%"
"2021","TBR",".295","1.10","18.8%","42.6%","38.6%","10.9%","14.6%","124","8.4%","7","35.0%","40.1%","36.3%","23.6%","17.7%","49.1%","33.2%"
"2016","ARI",".315","1.57","20.7%","48.5%","30.8%","8.8%","14.5%","132","6.4%","19","24.7%","37.9%","35.5%","26.6%","17.0%","49.7%","33.3%"
"2019","CLE",".289","1.14","19.8%","42.7%","37.4%","10.9%","14.5%","107","6.1%","15","18.1%","42.5%","33.1%","24.4%","16.5%","45.0%","38.5%"
"2019","ARI",".293","1.22","21.3%","43.3%","35.4%","10.3%","14.5%","116","6.3%","13","18.3%","41.0%","36.4%","22.6%","16.6%","43.8%","39.6%"
"2019","PHI",".293","1.17","21.9%","42.1%","36.0%","12.7%","14.5%","119","6.9%","15","20.8%","40.9%","33.9%","25.2%","17.8%","43.2%","39.0%"
"2004","NYY",".285","1.23","18.5%","44.9%","36.6%","9.7%","14.5%","156","7.6%","13","20.3%","45.8%","28.5%","25.7%","15.5%","56.3%","28.2%"
