"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"HOU","1670","4628","157","636","611","43","9.1%","19.7%",".172",".303",".266",".338",".438",".334","","117","-7.0","88.9","2.5","25.1"
"LAD","1824","4721","171","634","609","43","10.1%","22.9%",".182",".293",".247",".336",".429",".331","","110","3.5","60.9","20.0","23.6"
"TBR","1770","4653","167","635","601","65","9.6%","25.7%",".184",".292",".238",".319",".422",".320","","107","8.0","48.0","3.5","21.2"
"SFG","1922","4599","181","594","568","49","9.7%","24.5%",".191",".296",".247",".326",".437",".328","","106","-7.4","27.3","28.1","20.6"
"CHW","1703","4510","143","602","571","51","9.9%","23.5%",".168",".306",".252",".333",".420",".327","","110","4.2","57.0","-6.4","20.6"
"TOR","1741","4433","183","615","591","57","8.1%","20.9%",".194",".301",".265",".328",".459",".337","","113","-2.8","64.5","-14.1","20.3"
"OAK","1746","4554","152","546","513","63","9.1%","22.6%",".171",".278",".236",".317",".408",".315","","104","4.6","27.5","8.3","19.2"
"BOS","1736","4594","156","611","577","33","8.0%","22.8%",".182",".308",".259",".324",".442",".329","","105","0.0","28.0","-1.5","18.4"
"CIN","1858","4706","169","616","592","26","9.1%","23.4%",".180",".303",".253",".334",".433",".332","","103","-12.0","8.6","16.1","17.9"
"MIL","1796","4577","151","563","534","61","9.6%","24.5%",".167",".285",".234",".319",".401",".313","","93","7.2","-31.9","58.7","17.6"
"ATL","1802","4581","176","604","580","52","9.8%","24.1%",".189",".289",".243",".325",".432",".325","","100","6.1","6.0","16.5","17.2"
"SDP","1879","4655","147","585","556","94","9.8%","21.7%",".165",".291",".247",".327",".412",".320","","101","-0.3","4.9","7.0","16.4"
"MIN","1753","4581","171","560","525","38","9.0%","22.7%",".182",".284",".244",".319",".426",".322","","104","-3.1","17.6","-29.2","14.6"
"NYY","1741","4547","149","513","476","49","10.9%","24.5%",".158",".290",".237",".327",".395",".316","","101","-9.2","-4.6","-7.4","14.4"
"WSN","1748","4436","136","532","506","46","8.6%","21.9%",".159",".308",".258",".332",".417",".324","","99","-15.1","-21.8","16.8","14.0"
"PHI","1754","4487","141","537","511","63","9.4%","23.7%",".164",".289",".239",".317",".403",".312","","93","6.3","-35.3","22.0","13.3"
"STL","1745","4407","131","486","466","62","8.1%","22.2%",".154",".281",".237",".309",".391",".304","","90","4.0","-50.5","33.5","12.7"
"MIA","1827","4478","122","490","466","82","7.7%","26.1%",".142",".302",".238",".304",".380",".298","","89","3.9","-60.4","40.8","12.7"
"LAA","1738","4527","151","550","521","53","7.3%","23.5%",".169",".301",".250",".312",".419",".315","","101","0.1","3.8","-37.6","12.2"
"NYM","1783","4299","126","456","435","32","8.7%","23.8%",".145",".287",".235",".312",".380",".303","","92","-15.5","-57.2","34.9","11.8"
"COL","1723","4490","132","545","520","62","8.2%","22.4%",".161",".300",".250",".317",".411",".315","","81","17.0","-94.3","63.9","11.6"
"CHC","1877","4520","153","512","487","59","8.3%","26.6%",".166",".288",".231",".307",".397",".306","","90","-4.5","-63.0","20.9","10.5"
"CLE","1706","4349","147","519","495","71","7.8%","23.2%",".169",".274",".232",".300",".401",".303","","89","7.5","-50.0","-1.8","9.7"
"SEA","1727","4418","150","504","484","51","8.9%","25.7%",".160",".270",".222",".299",".382",".297","","92","-0.6","-44.6","-20.7","8.6"
"ARI","1821","4589","105","504","478","33","9.0%","23.8%",".143",".295",".236",".312",".379",".302","","85","2.4","-84.4","17.2","8.2"
"BAL","1723","4387","140","479","458","41","7.4%","23.6%",".161",".285",".238",".301",".399",".304","","92","-2.2","-44.0","-25.1","8.1"
"KCR","1736","4358","118","486","460","85","7.1%","21.7%",".144",".288",".243",".302",".387",".299","","87","6.6","-61.7","-14.9","7.3"
"DET","1738","4473","136","531","513","65","8.5%","26.0%",".157",".301",".240",".308",".397",".306","","92","0.8","-41.5","-48.4","6.3"
"TEX","1669","4367","130","447","428","70","7.5%","23.8%",".146",".267",".223",".288",".368",".287","","81","-3.8","-104.4","12.2","5.7"
"PIT","1759","4448","92","431","407","38","8.4%","22.2%",".126",".286",".233",".303",".359",".291","","80","1.5","-110.8","19.9","5.4"
