"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Mike Trout","LAA","47","194","156","46","8","1","14","34","34","33","47","3","1",".292",".423",".630","1.052",".435","10155"
"Juan Soto","WSN","58","256","209","63","12","1","13","41","39","44","43","5","2",".302",".423",".563",".986",".414","20123"
"Vladimir Guerrero Jr.","TOR","63","277","241","73","14","1","18","45","46","32","46","2","1",".305",".389",".592",".981",".411","19611"
"Freddie Freeman","ATL","58","243","206","63","13","1","13","38","37","33","42","3","1",".307",".406",".566",".973",".408","5361"
"Fernando Tatis Jr.","SDP","50","226","198","57","11","1","17","40","41","23","64","10","2",".285",".365",".606",".971",".405","19709"
"Shohei Ohtani","LAA","54","225","197","55","10","1","17","40","38","25","66","8","2",".278",".362",".604",".965",".402","19755"
"Aaron Judge","NYY","56","240","205","56","10","1","16","37","38","31","67","1","0",".275",".376",".557",".932",".394","15640"
"Jose Ramirez","CLE","61","258","225","64","15","2","16","40","40","28","37","9","2",".282",".364",".569",".933",".390","13510"
"Max Muncy","LAD","52","235","195","51","9","1","14","37","37","35","52","1","0",".262",".382",".535",".917",".389","13301"
"Bryce Harper","PHI","56","247","205","56","12","1","13","37","37","38","57","4","2",".271",".387",".532",".919",".387","11579"
"Mookie Betts","LAD","49","218","189","54","12","1","11","35","31","26","36","5","1",".287",".375",".533",".909",".385","13611"
"Jesse Winker","CIN","51","233","202","58","11","1","12","34","33","26","43","1","0",".286",".374",".522",".897",".383","13590"
"Matt Olson","OAK","57","246","212","56","11","0","17","35","40","28","54","1","0",".262",".354",".551",".905",".380","14344"
"Nick Castellanos","CIN","46","208","189","55","13","1","11","31","32","16","48","1","1",".292",".350",".551",".901",".379","11737"
"Justin Turner","LAD","47","213","185","54","11","1","10","31","30","21","36","1","0",".289",".373",".511",".884",".378","5235"
"Rafael Devers","BOS","56","237","214","60","13","1","15","36","38","20","54","2","1",".282",".345",".557",".901",".378","17350"
"J.D. Martinez","BOS","57","245","217","62","13","1","13","36","37","25","57","1","0",".286",".359",".535",".895",".377","6184"
"Kris Bryant","CHC","56","246","212","57","11","1","13","35","35","26","57","2","1",".271",".365",".513",".878",".375","15429"
"Joey Gallo","TEX","57","238","197","45","8","1","17","35","39","37","79","2","1",".229",".356",".534",".890",".375","14128"
"Nelson Cruz","TBR","52","226","200","54","9","0","15","32","38","21","53","1","0",".272",".349",".544",".892",".374","2434"
"Christian Yelich","MIL","48","209","175","48","9","1","9","31","28","30","52","5","2",".272",".384",".491",".874",".374","11477"
"Byron Buxton","MIN","38","161","148","41","9","1","10","26","25","10","42","5","1",".275",".328",".564",".892",".374","14161"
"George Springer","TOR","55","246","212","57","9","1","14","38","36","28","52","2","1",".266",".358",".519",".877",".374","12856"
"Yordan Alvarez","HOU","50","218","190","52","10","1","12","31","35","23","57","1","0",".275",".358",".526",".884",".372","19556"
"Xander Bogaerts","BOS","56","239","213","62","13","1","11","35","33","22","44","2","1",".293",".360",".513",".873",".372","12161"
"Kyle Schwarber","WSN","32","141","122","30","5","0","10","20","24","16","40","1","0",".247",".342",".535",".878",".370","16478"
