Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30,WHIP,oWHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Arizona Diamondbacks,22,58,.275,L 2,4.2,5.6,-1.4,0.2,-1.2,30-50,-8,8-15,7-11,7-25,0-7,12-24,10-34,4-4,2-18,18-42,4-16,13-39,9-19,2-8,2-18,4-26,1.471,1.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Atlanta Braves,37,40,.480,W 1,4.6,4.6,0.0,0.0,-0.1,38-39,-1,17-20,15-7,3-3,2-10,20-20,17-20,1-6,11-11,29-31,8-9,23-24,14-16,5-5,9-11,14-16,1.288,1.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Baltimore Orioles,25,54,.317,W 1,4.0,5.5,-1.5,0.3,-1.3,28-51,-3,10-23,4-13,9-11,2-7,12-26,13-28,3-4,5-12,16-36,9-18,20-48,5-6,2-8,4-16,8-22,1.462,1.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Boston Red Sox,48,31,.608,W 4,5.0,4.5,0.5,0.1,0.6,44-35,4,21-10,9-6,8-13,10-2,24-17,24-14,4-2,13-7,33-20,15-11,24-17,24-14,6-4,12-8,19-11,1.390,1.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chicago Cubs,42,37,.532,L 4,4.2,4.1,0.1,-0.1,0.0,40-39,2,10-11,19-15,10-7,3-4,26-13,16-24,4-4,13-12,29-29,13-8,24-24,18-13,3-7,9-11,15-15,1.297,1.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chicago White Sox,45,32,.584,W 1,4.8,3.7,1.1,-0.3,0.7,47-30,-2,10-7,24-12,7-10,4-3,28-14,17-18,3-3,9-10,27-25,18-7,15-21,30-11,3-7,10-10,17-13,1.211,1.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Cincinnati Reds,39,38,.506,W 1,5.0,5.0,0.0,-0.2,-0.2,38-39,1,6-4,19-12,9-18,5-4,19-18,20-20,8-3,11-8,31-32,8-6,17-22,22-16,4-6,11-9,18-12,1.370,1.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Cleveland Indians,42,33,.560,W 1,4.4,4.4,0.1,-0.4,-0.4,38-37,4,7-7,23-14,5-5,7-7,21-13,21-20,5-3,12-8,27-17,15-16,16-18,26-15,5-5,12-8,17-13,1.306,1.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Colorado Rockies,32,47,.405,W 1,4.3,5.1,-0.8,0.2,-0.7,33-46,-1,5-8,6-15,14-21,7-3,26-16,6-31,4-4,12-13,20-36,12-11,18-35,14-12,4-6,9-11,13-17,1.387,1.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Detroit Tigers,34,45,.430,L 1,3.9,4.9,-1.0,-0.1,-1.1,31-48,3,4-5,14-25,11-10,5-5,19-21,15-24,6-3,12-11,23-33,11-12,21-31,13-14,5-5,10-10,15-15,1.371,1.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Houston Astros,48,31,.608,L 2,5.7,3.9,1.8,0.1,1.8,53-26,-5,15-8,8-6,23-12,2-5,26-14,22-17,3-5,7-8,28-16,20-15,29-16,19-15,7-3,15-5,21-9,1.188,1.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Kansas City Royals,33,44,.429,L 6,4.1,5.0,-0.8,-0.1,-1.0,32-45,1,8-9,15-23,5-11,5-1,18-19,15-25,1-1,10-14,24-31,9-13,15-23,18-21,3-7,4-16,10-20,1.467,1.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Los Angeles Angels,38,40,.487,W 2,4.8,5.2,-0.4,0.3,-0.1,36-42,2,5-9,13-7,14-20,6-4,21-19,17-21,2-3,11-6,26-28,12-12,21-33,17-7,5-5,11-9,17-13,1.412,1.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Los Angeles Dodgers,48,31,.608,W 4,5.1,3.7,1.3,0.0,1.3,50-29,-2,8-4,10-10,21-11,9-6,27-13,21-18,1-7,11-14,34-22,14-9,22-22,26-9,6-4,14-6,18-12,1.109,1.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Miami Marlins,33,44,.429,L 1,3.9,3.7,0.2,0.0,0.2,41-36,-8,14-12,6-13,11-9,2-10,18-18,15-26,3-4,6-16,24-29,9-15,15-26,18-18,4-6,9-11,10-20,1.169,1.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
