"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2001","SEA","17.77","-100.91","118.68","174.06","17.44","0.95","1.36","105","14.27","4.47"
"2005","BOS","15.77","-102.63","118.40","145.68","14.03","0.97","1.05","108","9.00","7.32"
"2011","STL","15.72","-106.43","122.15","110.54","12.10","1.03","1.42","258","10.30","4.95"
"2005","NYY","15.40","-99.72","115.12","156.00","15.76","0.94","1.55","94","14.12","2.19"
"2004","NYY","14.45","-104.33","118.78","119.15","11.69","0.96","1.46","86","11.53","3.54"
"2017","HOU","14.36","-97.91","112.27","172.26","17.26","0.91","1.37","73","16.26","-0.43"
"2003","ATL","14.20","-100.14","114.34","171.05","16.96","0.93","1.11","238","15.19","0.02"
"2019","LAD","14.16","-102.64","116.79","160.76","16.53","0.96","1.14","307","13.55","1.22"
"2003","BOS","13.30","-111.44","124.74","159.40","15.10","1.00","1.67","110","14.43","-1.16"
"2006","NYY","13.17","-108.95","122.12","148.87","14.28","0.99","1.49","106","10.89","2.41"
"2009","NYY","13.11","-110.39","123.50","134.17","12.95","1.00","1.41","97","13.87","-0.74"
"2018","BOS","13.08","-102.76","115.84","116.17","11.20","0.95","1.56","96","7.49","6.23"
"2004","SFG","13.06","-110.36","123.41","101.91","10.06","1.04","1.58","235","7.23","5.28"
"2015","TOR","13.05","-96.44","109.49","197.60","20.53","0.91","1.61","96","15.83","-1.51"
"2019","NYY","12.96","-97.34","110.30","163.93","15.49","0.88","1.66","57","13.58","1.14"
"2009","LAA","12.96","-104.95","117.91","131.72","13.14","0.98","1.42","79","10.20","3.02"
"2007","NYY","12.65","-104.19","116.84","189.93","18.53","0.95","1.20","98","15.44","-2.06"
"2009","PHI","11.85","-101.48","113.33","94.68","9.69","0.93","1.27","271","9.73","2.97"
"2000","SFG","11.74","-102.42","114.15","144.76","13.58","0.94","1.35","231","11.67","0.85"
"2004","STL","11.60","-105.28","116.88","119.99","11.86","0.98","1.28","272","11.60","0.18"
"2014","LAA","11.59","-100.61","112.21","130.66","14.41","0.97","1.40","123","11.15","0.84"
"2002","NYY","11.09","-106.37","117.46","139.69","13.09","0.97","1.65","79","10.95","0.45"
"2001","OAK","10.75","-106.31","117.06","129.86","12.71","0.98","1.37","87","8.68","2.35"
"2012","LAA","10.38","-93.82","104.21","100.58","10.21","0.90","1.41","71","10.30","1.20"
"2012","SFG","9.99","-98.63","108.61","81.00","8.63","0.97","1.28","218","5.45","4.83"
"2013","BOS","9.74","-108.61","118.35","136.00","14.20","1.00","1.42","92","11.72","-2.00"
"2018","NYY","9.58","-103.68","113.26","109.38","10.70","0.95","1.70","70","11.72","-1.67"
"2019","HOU","9.49","-104.18","113.67","150.88","15.12","0.93","1.58","81","14.74","-4.50"
"2004","BOS","9.48","-109.17","118.65","137.29","12.82","0.96","1.38","112","10.19","-0.30"
"2003","NYY","9.39","-102.89","112.28","108.61","10.73","0.92","1.52","98","10.70","-0.52"
"2011","MIL","9.39","-98.08","107.48","48.40","5.24","0.95","1.12","257","7.64","2.29"
"2016","TEX","9.34","-104.80","114.14","22.70","1.99","0.98","1.43","82","1.35","8.20"
"2007","PHI","9.30","-111.98","121.28","110.94","10.93","1.00","1.28","262","12.20","-2.93"
"2019","ATL","9.28","-102.18","111.46","100.92","9.78","0.94","1.07","262","7.99","1.92"
"2003","STL","9.23","-107.38","116.62","133.74","13.58","0.97","1.15","292","13.25","-3.74"
"2021","TBR","9.12","-94.56","103.68","141.31","14.23","1.00","1.96","107","8.93","0.16"
"2010","NYY","9.06","-104.38","113.44","130.59","13.01","0.96","1.38","114","12.18","-2.70"
"2013","STL","9.04","-93.36","102.39","142.68","16.03","0.91","1.00","235","6.31","3.65"
"2016","BOS","9.03","-108.86","117.89","141.04","13.80","0.99","1.66","108","11.78","-2.63"
"2019","WSN","8.96","-104.28","113.25","114.35","11.27","0.95","1.12","252","7.98","1.42"
"2002","OAK","8.85","-105.10","113.96","50.22","5.22","0.97","1.53","122","3.67","5.42"
"2010","TBR","8.85","-107.07","115.92","117.14","12.16","1.01","1.19","173","7.06","1.70"
"2008","TEX","8.71","-108.62","117.33","127.81","12.32","0.97","1.37","117","10.85","-1.85"
"2021","SFG","8.67","-89.85","98.52","82.18","8.27","0.95","1.17","344","9.38","-0.26"
"2012","NYY","8.65","-107.89","116.55","83.00","8.30","1.01","1.16","148","11.32","-2.71"
"2019","MIN","8.64","-106.54","115.18","134.10","12.99","0.94","1.50","83","11.94","-2.77"
"2006","NYM","8.60","-106.00","114.59","72.28","7.03","0.99","1.21","247","3.22","5.50"
"2014","LAD","8.57","-100.13","108.70","97.55","11.09","0.95","1.19","235","12.43","-3.40"
"2005","ATL","8.35","-104.61","112.96","52.65","5.41","0.98","1.13","245","6.11","2.43"
"2011","TEX","8.25","-96.38","104.63","121.34","11.78","0.89","1.69","66","12.47","-3.20"
"2017","LAD","8.09","-102.62","110.71","59.87","6.90","0.97","1.20","342","7.95","0.40"
