web-scraper-order,web-scraper-start-url,links,links-href,
"1626239989-21965","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","W -130"
"1626239975-20808","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Clayton Kershaw (L)"
"1626239959-19474","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","U 9"
"1626239959-19451","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Frankie Montas (R)"
"1626239975-20864","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Walker Buehler (R)"
"1626239982-21321","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","L -102"
"1626239989-22351","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","O 7"
"1626239982-21502","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Pablo Lopez (R)"
"1626239989-22526","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","U 11"
"1626239975-20782","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","L 126"
"1626239975-21090","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","L -125"
"1626239967-20102","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Trevor Bauer (R)"
"1626239967-20027","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","O 9"
"1626239975-21005","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Pablo Lopez (R)"
"1626239989-22533","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","U 11.5"
"1626239959-19759","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Blake Snell (L)"
"1626239959-19934","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Austin Gomber (L)"
"1626239982-21520","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","OAK"
"1626239959-19418","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","O 8.5"
"1626239982-21570","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","L 2-4"
"1626239959-19394","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Kevin Gausman (R)"
"1626239975-21224","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","O 7.5"
"1626239975-20743","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","CHC"
"1626239975-20643","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","O/U"
"1626239975-21075","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Kyle Hendricks (R)"
"1626239989-22206","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","STL"
"1626239967-19985","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","O/U"
"1626239959-19615","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","May 29"
"1626239982-21839","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","L 215"
"1626239959-19480","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","W -120"
"1626239989-22262","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","@ LAD"
"1626239975-20655","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Caleb Smith (L)"
"1626239975-20865","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","JT Brubaker (R)"
"1626239975-20835","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","L 1-12"
"1626239982-21358","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Jun 30"
"1626239982-21317","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","@ ARI"
"1626239959-19923","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Apr 10"
"1626239967-20332","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Joe Musgrove (R)"
"1626239982-21493","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","W 4-3"
"1626239989-22342","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Tommy Hunter (R)"
"1626239989-22046","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","L 0-5"
"1626239959-19584","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Jake Arrieta (R)"
"1626239989-22345","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","May 7"
"1626239975-21129","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","L 7-8"
"1626239982-21484","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Jun 10"
"1626239982-21642","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Tyler Mahle (R)"
"1626239967-20108","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Blake Snell (L)"
