a,Home,Away,Home Score,Away Score,Home Odds,Away Odds,Home MOV,Home Win?
20:10,Los Angeles Dodgers , Arizona Diamondbacks,7,4,-303,254,3,  Yes
20:10,San Diego Padres , Colorado Rockies,1,3,-196,167,-2, No
20:10,Seattle Mariners , Los Angeles Angels,1,7,-116,100,-6, No
20:05,San Francisco Giants , Washington Nationals,3,1,-200,173,2,  Yes
18:35,Texas Rangers , Oakland Athletics,1,4,122,-141,-3, No
18:10,Houston Astros , New York Yankees,8,7,-133,116,1,  Yes
18:10,Milwaukee Brewers , Cincinnati Reds,1,3,-172,149,-2, No
18:10,Minnesota Twins , Detroit Tigers,12,9,-238,200,3,  Yes
17:10,Boston Red Sox , Philadelphia Phillies,4,5,-196,168,-1, No
17:10,Miami Marlins , Atlanta Braves,7,4,-130,112,3,  Yes
17:10,New York Mets , Pittsburgh Pirates,5,6,-227,195,-1, No
17:10,Tampa Bay Rays , Toronto Blue Jays,1,3,108,-125,-2, No
17:05,Baltimore Orioles , Chicago White Sox,5,7,150,-172,-2, No
2:10,Los Angeles Dodgers , Arizona Diamondbacks,22,1,-333,275,21,  Yes
2:10,San Diego Padres , Colorado Rockies,0,3,-208,177,-3, No
2:10,Seattle Mariners , Los Angeles Angels,2,0,-103,-112,2,  Yes
23:15,Chicago Cubs , St.Louis Cardinals,0,6,-114,-101,-6, No
23:15,Houston Astros , New York Yankees,0,1,-108,-108,-1, No
23:15,Milwaukee Brewers , Cincinnati Reds,3,4,-217,185,-1, No
23:10,New York Mets , Pittsburgh Pirates,4,2,-227,188,2,  Yes
22:10,Cleveland Indians , Kansas City Royals,14,6,-127,108,8,  Yes
20:10,Boston Red Sox , Philadelphia Phillies,2,11,-164,141,-9, No
20:10,Miami Marlins , Atlanta Braves,4,5,-111,-104,-1, No
20:10,New York Mets , Pittsburgh Pirates,2,6,-204,174,-4, No
20:05,Baltimore Orioles , Chicago White Sox,3,8,179,-213,-5, No
20:05,San Francisco Giants , Washington Nationals,10,4,-200,172,6,  Yes
20:05,Texas Rangers , Oakland Athletics,4,8,114,-130,-4, No
18:10,Minnesota Twins , Detroit Tigers,9,4,-185,159,5,  Yes
17:10,Tampa Bay Rays , Toronto Blue Jays,5,2,-119,102,3,  Yes
2:10,Los Angeles Dodgers , Arizona Diamondbacks,2,5,-294,245,-3, No
2:10,San Diego Padres , Colorado Rockies,4,2,-208,177,2,  Yes
2:10,Seattle Mariners , Los Angeles Angels,7,3,106,-125,4,  Yes
1:45,San Francisco Giants , Washington Nationals,5,3,-152,131,2,  Yes
0:10,Houston Astros , New York Yankees,0,4,-132,114,-4, No
0:10,Milwaukee Brewers , Cincinnati Reds,0,2,-120,104,-2, No
0:10,Minnesota Twins , Detroit Tigers,4,2,-238,206,2,  Yes
0:05,Texas Rangers , Oakland Athletics,3,2,114,-132,1,  Yes
23:10,Boston Red Sox , Philadelphia Phillies,11,5,-130,114,6,  Yes
23:10,Cleveland Indians , Kansas City Royals,2,1,-143,125,1,  Yes
23:10,Miami Marlins , Atlanta Braves,0,5,131,-152,-5, No
23:10,New York Mets , Pittsburgh Pirates,13,4,-213,181,9,  Yes
23:10,Tampa Bay Rays , Toronto Blue Jays,7,1,-127,110,6,  Yes
23:05,Baltimore Orioles , Chicago White Sox,1,12,118,-137,-11, No
18:20,Chicago Cubs , St.Louis Cardinals,10,5,-154,133,5,  Yes
1:10,San Diego Padres , Washington Nationals,9,8,-154,133,1,  Yes
0:10,Milwaukee Brewers , Cincinnati Reds,5,3,-115,-101,2,  Yes
0:10,Minnesota Twins , Detroit Tigers,5,3,-137,119,2,  Yes
0:05,Chicago Cubs , Philadelphia Phillies,0,8,-112,-104,-8, No
23:10,Cleveland Indians , Kansas City Royals,7,4,-137,118,3,  Yes
