"Season","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%"
"2021","MIN","48.4%","93.8","21.9%","85.0","5.9%","88.4","8.7%","79.6","13.6%","84.7","1.4%","85.8","0.1%","62.2","0.3%"
"2021","NYY","51.1%","93.8","21.1%","84.8","6.6%","88.3","8.5%","79.3","11.1%","84.3","1.7%","87.4","","","0.2%"
"2021","CHC","50.6%","93.8","21.1%","84.7","6.8%","88.1","8.8%","79.2","11.2%","84.9","1.5%","85.4","","","0.3%"
"2021","TOR","50.5%","93.7","21.3%","85.1","7.3%","87.6","8.7%","79.5","10.8%","85.1","1.4%","86.8","","","0.2%"
"2021","WSN","51.0%","93.7","19.3%","85.3","5.5%","88.3","11.4%","79.1","11.3%","85.2","1.4%","85.4","","","0.6%"
"2021","PHI","51.8%","93.7","20.4%","84.5","6.8%","88.4","9.3%","78.9","10.5%","85.7","1.1%","86.6","0.1%","62.5","0.5%"
"2021","NYM","52.0%","93.7","18.0%","84.7","6.9%","88.4","10.6%","79.1","11.4%","85.1","1.1%","85.2","","","0.4%"
"2021","BAL","49.7%","93.7","19.7%","84.3","7.7%","87.5","9.7%","79.2","11.4%","84.4","1.8%","86.8","","","0.1%"
"2020","ARI","52.6%","93.7","18.8%","85.0","4.8%","89.6","8.4%","80.3","13.8%","84.8","1.6%","85.0","","","0.1%"
"2021","ARI","52.0%","93.6","18.9%","84.7","6.9%","89.3","8.5%","79.4","12.1%","85.3","1.5%","84.4","","","0.4%"
"2021","KCR","49.7%","93.6","21.9%","84.9","5.4%","88.5","10.1%","79.8","11.2%","84.5","1.8%","86.1","0.0%","43.7","0.2%"
"2019","ATL","53.1%","93.6","17.9%","85.2","6.1%","89.1","9.7%","79.6","12.1%","84.9","1.1%","86.0","","","0.6%"
"2021","SDP","52.9%","93.5","19.7%","85.1","6.7%","89.1","9.0%","79.1","10.5%","85.2","1.1%","85.5","0.1%","57.2","0.6%"
"2021","LAA","51.4%","93.5","21.7%","84.2","5.9%","88.1","8.9%","79.8","10.7%","84.5","1.5%","86.1","","","0.5%"
"2021","MIA","51.8%","93.5","20.2%","84.7","6.0%","88.2","10.7%","78.9","9.7%","84.8","1.6%","85.9","","","0.4%"
"2021","BOS","52.3%","93.5","18.7%","84.5","6.5%","87.2","9.1%","79.7","12.0%","84.3","1.3%","85.4","0.2%","54.8","0.4%"
"2021","TBR","50.4%","93.5","18.0%","84.4","7.1%","88.6","10.4%","79.7","12.5%","84.6","1.6%","86.9","","","0.4%"
"2020","LAD","48.5%","93.5","20.2%","84.6","5.6%","88.7","10.1%","80.3","13.6%","85.0","1.9%","86.1","","","0.3%"
"2021","STL","51.7%","93.4","20.7%","85.0","4.8%","89.5","10.7%","79.5","10.8%","85.0","1.3%","85.5","","","0.5%"
"2021","CLE","49.9%","93.4","21.4%","84.3","5.8%","87.6","8.5%","78.7","12.8%","84.2","1.7%","85.8","","","0.3%"
"2021","ATL","51.6%","93.4","19.3%","85.1","7.3%","88.6","9.5%","78.3","10.8%","85.1","1.5%","86.2","","","0.6%"
"2021","SFG","50.4%","93.4","18.6%","84.5","7.4%","89.2","10.5%","79.3","11.9%","85.8","1.2%","85.7","0.0%","68.9","0.6%"
