"Season","Team","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C"
"2003","BOS","160.5","21.3","","17.0","2.9","-7.3","1.5","1.01","0.80","","0.67","0.09","-1.39","1.53"
"2009","NYY","144.9","-5.5","-0.1","18.3","20.0","-3.1","1.5","0.97","-0.18","-0.01","0.84","0.73","-0.78","0.90"
"2005","BOS","142.5","-17.9","-1.6","8.2","9.1","2.9","","0.95","-0.49","-0.30","0.44","0.35","0.74",""
"2007","NYY","139.8","22.8","-2.7","0.0","0.0","2.4","13.2","0.94","0.66","-0.32","0.00","0.00","0.45","4.63"
"2011","TEX","135.3","-6.5","5.6","-0.8","25.4","1.5","-1.1","1.00","-0.21","0.33","-0.04","1.03","0.46","-1.68"
"2012","NYY","129.1","-4.4","2.5","-3.0","1.3","-3.4","1.2","0.95","-0.15","0.15","-0.12","0.05","-0.64","1.41"
"2003","NYY","128.6","7.3","","-16.8","10.7","-8.2","-3.4","0.84","0.29","","-0.66","0.36","-1.89","-0.78"
"2011","BOS","127.4","1.2","12.5","8.2","21.4","0.1","","0.87","0.04","0.83","0.34","0.80","0.02",""
"2005","TEX","126.1","-24.3","3.9","7.4","-6.5","-15.3","-1.5","0.94","-0.63","0.68","0.38","-0.25","-3.99","-0.78"
"2002","BOS","125.7","-24.8","","-8.6","1.9","-3.1","1.7","0.84","-0.95","","-0.34","0.07","-0.59","0.94"
"2015","TOR","124.0","-10.1","1.7","9.3","25.6","-7.2","1.6","0.92","-0.26","0.12","0.46","1.01","-1.31","4.27"
"2008","TEX","120.3","-18.3","9.0","21.7","10.0","2.3","4.3","0.82","-0.49","1.11","1.03","0.40","0.68","1.75"
"2005","NYY","118.7","13.7","7.4","10.9","-3.0","-7.4","-3.6","0.84","0.43","1.88","0.54","-0.12","-2.07","-0.64"
"2009","BOS","116.4","-5.1","-7.8","9.4","6.1","1.2","0.3","0.79","-0.15","-0.56","0.41","0.23","0.68","0.66"
"2017","HOU","115.3","13.4","1.0","21.3","4.9","1.7","","0.91","0.34","0.07","0.79","0.19","0.39",""
"2019","MIN","115.2","4.2","13.0","20.2","2.5","-0.5","","0.93","0.09","0.88","0.77","0.08","-0.14",""
"2011","NYY","111.6","8.3","-5.8","9.1","0.3","1.6","0.3","0.81","0.28","-0.37","0.35","0.01","0.38","0.10"
"2004","BOS","110.9","2.4","4.5","2.8","20.1","-0.3","","0.74","0.08","1.27","0.14","0.63","-0.07",""
"2018","NYY","109.8","-19.9","-7.4","23.9","11.5","-4.8","-0.7","0.82","-0.44","-0.45","1.02","0.39","-1.49","-1.38"
"2002","NYY","106.1","-2.9","","5.3","-2.6","1.6","-0.8","0.71","-0.11","","0.19","-0.11","0.34","-0.29"
"2007","PHI","105.8","-14.8","-3.9","10.2","23.0","-2.7","","0.70","-0.37","-0.66","0.50","0.85","-1.06",""
"2008","CHC","102.9","-10.0","7.0","-17.9","-3.0","1.2","0.5","0.71","-0.24","0.81","-0.83","-0.14","0.30","9.69"
"2013","BOS","102.5","7.7","7.2","18.0","4.6","5.0","3.4","0.71","0.22","0.45","0.75","0.16","1.24","2.03"
"2003","TOR","102.3","-12.5","","7.3","-4.2","-5.7","3.0","0.72","-0.55","","0.29","-0.18","-1.79","0.70"
"2006","NYY","101.7","5.7","1.8","2.7","9.1","7.7","-1.2","0.68","0.19","0.38","0.12","0.34","1.72","-0.40"
"2010","MIL","101.2","-17.9","-16.6","-8.2","6.1","3.2","-0.8","0.74","-0.44","-1.85","-0.37","0.26","0.94","-0.45"
"2019","HOU","99.2","39.1","2.1","24.5","6.0","0.7","","0.76","0.89","0.14","0.99","0.21","0.17",""
"2010","BOS","98.7","-20.8","0.1","12.2","21.4","-3.5","2.1","0.65","-0.63","0.00","0.55","0.80","-1.31","12.83"
"2006","PHI","98.4","-20.5","5.0","2.0","-7.2","-3.1","-2.7","0.67","-0.55","0.98","0.10","-0.26","-0.87","-2.76"
"2002","TEX","96.5","1.4","","-9.1","6.5","-7.9","1.5","0.65","0.05","","-0.32","0.25","-1.89","0.64"
"2016","BAL","95.5","-20.8","-13.7","5.5","-26.4","-4.3","-2.7","0.76","-0.60","-0.88","0.23","-0.94","-1.25","-0.76"
"2003","ATL","94.8","5.0","","7.9","23.0","-1.6","","0.66","0.16","","0.34","0.85","-0.48",""
"2004","TEX","93.2","-19.3","-2.8","-9.6","4.8","-13.2","2.0","0.73","-0.63","-0.89","-0.43","0.18","-3.09","0.80"
"2019","LAD","90.5","-3.7","-2.1","2.7","5.1","6.2","3.0","0.69","-0.08","-0.15","0.10","0.18","1.46","18.88"
"2006","CHW","90.2","-30.8","-4.6","10.5","9.7","5.3","","0.63","-0.87","-0.96","0.51","0.36","1.44",""
"2018","BOS","89.5","6.0","7.2","4.6","28.6","3.2","","0.66","0.13","0.60","0.23","0.93","0.89",""
"2005","CLE","88.7","-19.6","0.7","6.9","1.9","1.2","0.4","0.65","-0.55","0.17","0.36","0.07","0.38","0.40"
"2010","NYY","87.1","13.4","-0.4","15.7","15.0","0.6","-3.8","0.59","0.47","-0.03","0.70","0.52","0.15","-1.94"
"2019","NYY","84.7","1.4","7.9","8.3","19.8","4.4","0.9","0.66","0.03","0.56","0.31","0.77","0.77","1.61"
"2005","ATL","84.1","-31.2","-4.3","-18.1","-5.0","-6.1","2.6","0.63","-1.00","-0.66","-0.88","-0.17","-2.39","4.32"
"2009","CLE","84.1","-35.1","-7.9","-5.4","-10.7","-2.1","-1.1","0.60","-0.96","-0.52","-0.24","-0.46","-1.12","-0.57"
"2003","TEX","84.0","-18.6","","2.8","0.6","-12.2","7.3","0.61","-0.76","","0.11","0.02","-3.38","2.76"
"2006","CLE","83.8","-9.3","-0.5","-6.2","-7.6","4.8","-3.7","0.61","-0.26","-0.08","-0.29","-0.25","1.48","-2.11"
"2018","CLE","83.8","2.8","5.5","4.6","-1.1","-3.4","0.5","0.63","0.07","0.43","0.17","-0.04","-1.02","3.63"
"2002","CHW","83.5","-15.2","","-2.6","2.9","6.0","12.5","0.57","-0.62","","-0.11","0.12","1.69","2.83"
"2007","BOS","83.4","-5.4","10.9","5.4","12.5","0.5","0.3","0.58","-0.14","0.99","0.28","0.44","0.10","0.42"
