"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2019","HOU","6394","119","80","108","109","113","126","119","99","101","98","102","103","101","94"
"2020","LAD","2316","106","88","104","104","115","122","130","94","96","91","114","102","98","100"
"2020","NYM","2279","93","95","111","107","109","121","107","109","100","108","90","96","102","103"
"2017","HOU","6271","96","81","110","106","111","121","113","104","96","101","101","100","101","100"
"2020","ATL","2344","110","106","109","107","115","120","123","110","109","89","108","101","96","104"
"2003","BOS","6530","115","92","108","108","115","120","126","104","105","89","110","102","95","102"
"2007","NYY","6528","114","91","107","108","109","119","114","104","103","104","94","100","99","101"
"2021","HOU","5429","106","84","110","107","106","117","102","105","107","95","101","101","102","96"
"2015","TOR","6231","119","93","105","107","111","117","120","101","96","101","101","107","93","99"
"2009","NYY","6449","117","90","106","108","111","117","120","102","105","101","96","100","100","101"
"2011","BOS","6414","111","96","108","108","113","117","120","107","102","98","102","101","99","101"
"2019","NYY","6245","107","101","105","105","111","116","119","103","99","99","102","99","101","101"
"2020","NYY","2210","125","91","102","107","108","116","117","96","102","103","96","104","90","107"
"2002","NYY","6377","119","113","104","107","107","116","112","106","102","101","98","102","96","101"
"2019","MIN","6392","97","91","106","104","112","116","120","101","104","91","108","105","97","96"
"2005","NYY","6406","127","98","103","107","106","116","111","101","86","106","100","109","95","91"
"2001","SEA","6474","114","93","108","108","104","116","97","108","","","","","",""
"2020","SDP","2231","99","93","104","102","111","115","120","99","98","103","98","101","97","102"
"2003","NYY","6431","129","103","101","107","106","115","113","100","95","103","100","100","107","93"
"2013","BOS","6382","112","104","108","109","110","114","113","110","107","96","101","99","100","101"
"2013","DET","6388","102","85","111","108","107","114","101","107","108","100","95","98","101","102"
"2004","BOS","6515","119","112","104","106","109","114","116","106","100","95","106","107","96","93"
"2012","LAA","6121","91","95","107","103","105","113","102","106","94","107","94","99","102","98"
"2006","NYY","6455","121","101","103","107","105","113","109","103","98","104","97","99","102","99"
"2016","BOS","6320","110","89","109","108","109","113","108","107","102","101","98","101","99","99"
"2012","NYY","6231","113","98","103","105","110","113","121","100","102","102","96","103","100","94"
"2020","CHW","2267","87","106","107","102","109","113","112","108","98","107","94","89","105","112"
"2011","NYY","6306","123","101","102","106","109","113","120","99","98","104","96","105","96","97"
"2020","SFG","2259","93","96","107","103","107","113","107","106","101","95","106","106","98","94"
"2004","NYY","6364","124","94","99","104","105","112","116","95","94","103","100","103","100","95"
"2011","STL","6242","103","85","106","104","105","112","105","102","102","107","91","92","102","110"
"2005","BOS","6403","130","103","105","108","107","112","111","105","111","94","101","100","102","98"
"2008","TEX","6478","107","111","105","105","110","112","117","108","112","96","98","95","102","105"
"2000","SFG","6418","110","99","102","103","106","112","112","101","","","","","",""
"2011","TEX","6261","94","83","109","105","113","112","118","103","106","102","95","93","107","102"
