"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"128",453286,"Scherzer, Max","2151","6.0","0.000","0.000",,"0.000","0.000","0.000",,"0","128",,,"2295","89.9","89.94","128","128","0","0.0","6.31","113","156","126","151","296","319","295"
"120",608337,"Giolito, Lucas","2435","4.9","0.000","0.000",,"0.000","0.000","0.000",,"0","120",,,"1823","85.8","86.67","120","120","0","0.9","6.75","114","152","123","150","300","320","294"
"120",592332,"Gausman, Kevin","2291","5.2","0.000","0.000",,"0.000","0.000","0.000",,"0","120",,,"1721","86.6","86.19","120","120","0","-0.4","6.52","113","156","126","150","296","320","292"
"118",543037,"Cole, Gerrit","2277","5.2","0.000","0.000",,"0.000","0.000","0.000",,"0","118",,,"2410","93.2","93.58","118","118","0","0.4","6.57","113","156","130","150","295","326","291"
"117",605400,"Nola, Aaron","2350","5.0","0.000","0.000",,"0.000","0.000","0.000",,"0","117",,,"2184","84.2","84.72","117","117","0","0.5","6.77","112","153","122","149","297","324","291"
"116",554430,"Wheeler, Zack","2525","4.6","0.000","0.000",,"0.000","0.000","0.000",,"0","116",,,"2388","93.4","94.04","116","116","0","0.6","7.14","115","153","122","150","293","321","290"
"111",594798,"deGrom, Jacob","1226","9.1","0.000","0.000",,"0.000","0.000","0.000",,"0","111",,,"2427","94.7","96.03","111","111","0","1.3","6.90","119","154","123","151","297","324","299"
"111",592662,"Ray, Robbie","2326","4.8","0.000","0.000",,"0.000","0.000","0.000",,"0","111",,,"2220","91.8","92.06","111","111","0","0.3","6.41","107","155","129","147","297","318","288"
"109",641816,"Mahle, Tyler","2408","4.5","0.000","0.000",,"0.000","0.000","0.000",,"0","109",,,"2273","91.9","91.56","109","109","0","-0.3","6.57","115","154","128","148","291","316","289"
"105",605397,"Musgrove, Joe","2261","4.6","0.000","0.000",,"0.000","0.000","0.000",,"0","105",,,"2734","85.3","84.40","105","105","0","-0.9","5.90","114","154","139","148","297","320","309"
"103",640455,"Manaea, Sean","2322","4.4","0.000","0.000",,"0.000","0.000","0.000",,"0","103",,,"1823","88.6","90.04","103","103","0","1.4","7.18","114","151","128","151","299","326","299"
"103",645261,"Alcantara, Sandy","2308","4.5","0.000","0.000",,"0.000","0.000","0.000",,"0","103",,,"2202","94.0","93.37","103","103","0","-0.6","6.00","109","151","123","149","299","315","286"
"102",506433,"Darvish, Yu","2119","4.8","0.000","0.000",,"0.000","0.000","0.000",,"0","102",,,"2544","88.3","88.08","102","102","0","-0.2","6.25","117","153","144","149","294","319","310"
"100",622491,"Castillo, Luis","2457","4.1","0.000","0.000",,"0.000","0.000","0.000",,"0","100",,,"2178","91.0","89.91","100","100","0","-1.1","5.54","116","154","127","149","288","316","289"
"100",605135,"Bassitt, Chris","2266","4.4","0.000","0.000",,"0.000","0.000","0.000",,"0","100",,,"2283","83.4","83.36","100","100","0","0.0","6.33","113","150","130","152","301","328","299"
"99",642547,"Peralta, Freddy","1964","5.0","0.000","0.000",,"0.000","0.000","0.000",,"0","99",,,"2284","87.9","82.91","99","99","0","-5.0","7.21","111","156","126","148","298","320","295"
"98",593423,"Montas, Frankie","2267","4.3","0.000","0.000",,"0.000","0.000","0.000",,"0","98",,,"2068","91.1","90.82","98","98","0","-0.3","5.99","111","150","131","152","299","324","302"
