"Season","Team","G","PA","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","wRAA","wRC","RE24","REW","WAR","-WPA","+WPA","BsR","Off","Def","Z-Contact%","Contact%","O-Swing%"
"2009","NYY","2369","6449","244","915","881","111","28","10.3%","15.7%",".194",".306",".283",".362",".478",".365","117","191.0","964","134.17","12.95","33.8","-110.39","123.50","0.2","137.5","-25.5","90.0%","83.4%","22.6%"
"2000","CLE","1930","6512","221","950","889","113","34","10.5%","16.2%",".182",".318",".288",".367",".470",".364","109","132.3","987","84.96","7.84","27.1","-112.59","117.29","7.8","89.1","-29.4","","",""
"2003","BOS","2313","6530","238","961","932","88","35","9.5%","14.4%",".202",".307",".289",".360",".491",".364","120","196.0","996","159.40","15.10","32.6","-111.44","124.74","3.5","167.2","-61.5","90.0%","82.0%","20.3%"
"2007","NYY","2366","6528","201","968","929","123","40","9.8%","15.2%",".174",".318",".290",".366",".463",".361","119","165.8","973","189.93","18.53","33.9","-104.19","116.84","11.9","168.4","-47.2","90.7%","83.7%","21.5%"
"2000","HOU","2303","6444","249","938","900","114","52","10.4%","17.5%",".199",".305",".278",".361",".477",".361","105","106.3","952","40.23","3.85","23.0","-117.87","114.45","-0.3","45.4","-10.9","","",""
"2000","SFG","2123","6418","226","925","889","79","39","11.0%","16.1%",".194",".303",".278",".362",".472",".359","112","100.0","942","144.76","13.58","34.7","-102.42","114.15","-1.3","103.6","53.7","","",""
"2004","BOS","2417","6515","222","949","912","68","30","10.1%","18.3%",".190",".319",".282",".360",".472",".358","114","156.2","964","137.29","12.82","24.7","-109.17","118.65","-17.1","97.9","-66.6","86.0%","80.1%","17.7%"
"2000","CHW","1791","6410","216","978","926","119","42","9.2%","15.0%",".184",".309",".286",".356",".470",".357","106","92.2","934","76.64","6.42","25.9","-105.83","108.36","5.3","58.5","-9.6","","",""
"2001","COL","2179","6394","213","923","874","132","54","8.0%","16.1%",".191",".322",".292",".354",".483",".357","95","154.1","948","44.14","3.32","26.5","-118.53","118.96","2.6","-41.9","102.6","","",""
"2000","OAK","2066","6432","239","947","908","40","15","11.7%","18.0%",".188",".300",".270",".360",".458",".356","109","87.0","931","109.87","9.84","22.8","-105.78","113.10","1.9","80.7","-62.9","","",""
"2000","ANA","1839","6373","236","864","837","93","52","9.5%","16.1%",".193",".303",".280",".352",".472",".356","106","83.7","920","-3.36","-0.52","31.3","-117.99","118.42","-4.5","49.9","52.7","","",""
"2006","NYY","2430","6455","210","930","902","139","35","10.1%","16.3%",".177",".315",".285",".363",".461",".356","113","132.8","943","148.87","14.28","24.2","-108.95","122.12","7.4","118.9","-91.9","89.1%","81.5%","20.6%"
"2020","ATL","900","2344","103","348","338","23","4","10.2%","24.4%",".215",".322",".268",".349",".483",".355","120","70.0","364","66.61","6.38","11.1","-41.92","44.49","3.7","64.1","-11.8","82.1%","74.2%","31.7%"
"2019","HOU","2309","6394","288","920","891","67","27","10.1%","18.2%",".221",".296",".274",".352",".495",".355","126","191.8","996","150.88","15.12","41.3","-104.18","113.67","-9.5","201.6","-2.5","88.4%","80.7%","29.3%"
"2008","TEX","2281","6478","194","901","867","81","25","9.2%","18.6%",".179",".325",".283",".354",".462",".355","112","139.6","919","127.81","12.32","23.5","-108.62","117.33","11.1","108.1","-97.3","87.2%","79.5%","24.7%"
"2003","ATL","2362","6378","235","907","872","68","22","8.5%","14.6%",".192",".302",".284",".349",".475",".354","112","134.1","916","171.05","16.96","35.6","-100.14","114.34","9.5","105.3","46.7","87.3%","79.1%","21.1%"
"2000","STL","2196","6369","235","887","841","87","51","10.6%","19.7%",".185",".308",".270",".356",".455",".353","105","64.3","900","76.05","6.81","31.2","-106.17","113.24","-5.2","36.0","82.1","","",""
"2000","COL","2221","6453","161","968","905","131","61","9.3%","14.1%",".161",".322",".294",".362",".455",".353","82","67.3","914","76.09","4.85","15.5","-114.61","116.08","-1.0","-155.8","100.6","","",""
"2005","BOS","2344","6403","199","910","863","45","12","10.2%","16.3%",".174",".310",".281",".357",".454",".352","112","138.2","906","145.68","14.03","27.6","-102.63","118.40","-2.9","92.8","-33.9","89.4%","82.6%","17.0%"
"2007","BOS","2278","6426","166","867","829","96","24","10.7%","16.2%",".165",".315",".279",".362",".444",".352","109","111.3","906","76.89","6.95","29.7","-113.30","114.59","-5.0","70.7","11.8","89.1%","82.3%","20.4%"
"2002","NYY","2135","6377","223","897","857","100","38","10.0%","18.4%",".180",".310",".275",".354",".455",".352","116","134.6","900","139.69","13.09","28.5","-106.37","117.46","-1.0","122.9","-55.4","84.6%","77.5%","17.8%"
"2000","SEA","1985","6444","198","907","869","122","56","12.0%","16.7%",".172",".299",".269",".361",".442",".352","107","61.1","907","105.57","9.63","28.8","-104.46","107.50","-0.5","64.5","12.0","","",""
"2011","BOS","2269","6414","203","875","842","102","42","9.0%","17.3%",".181",".314",".280",".349",".461",".352","117","181.6","902","134.63","13.16","36.3","-109.98","115.43","-12.2","114.3","16.2","88.7%","82.5%","29.0%"
"2008","BOS","2293","6402","173","845","807","120","35","10.1%","16.7%",".168",".315",".280",".358",".447",".351","110","122.4","893","74.24","6.84","32.9","-108.81","114.51","-4.7","72.2","35.4","89.2%","82.7%","22.3%"
"2003","NYY","2180","6431","230","877","845","98","33","10.6%","16.2%",".182",".295",".271",".356",".453",".351","115","125.7","914","108.61","10.73","26.5","-102.89","112.28","-0.3","119.4","-72.0","87.9%","78.5%","20.1%"
"2009","BOS","2317","6344","212","872","822","126","39","10.4%","17.7%",".184",".301",".270",".352",".454",".351","106","116.8","877","81.96","7.52","24.4","-104.14","109.50","-7.7","40.7","-19.8","88.3%","81.7%","22.2%"
"2007","PHI","2446","6537","213","892","850","138","19","9.8%","18.4%",".184",".311",".274",".354",".458",".351","105","104.0","912","110.94","10.93","34.9","-111.98","121.28","20.6","63.6","78.5","88.1%","80.3%","23.2%"
"2004","NYY","2281","6364","242","897","863","84","33","10.5%","15.4%",".189",".285",".268",".353",".458",".350","112","107.9","897","119.15","11.69","21.7","-104.33","118.78","-7.1","94.1","-88.1","86.5%","81.3%","15.4%"
"2000","NYY","2061","6311","205","871","833","99","48","10.0%","16.0%",".173",".304",".277",".354",".450",".350","105","50.5","879","22.10","1.99","20.6","-105.23","107.30","-1.5","37.1","-39.5","","",""
"2005","NYY","2319","6406","229","886","847","84","27","9.9%","15.4%",".174",".297",".276",".355",".450",".350","116","127.1","895","156.00","15.76","17.4","-99.72","115.12","-3.4","118.5","-160.9","89.1%","81.9%","17.6%"
"2020","LAD","921","2316","118","349","327","29","8","9.8%","20.3%",".227",".276",".256",".338",".483",".350","122","58.2","349","74.90","7.47","12.4","-37.50","44.56","-5.1","60.9","-15.3","85.4%","77.4%","26.5%"
"2000","TOR","1871","6326","244","861","826","89","34","8.3%","16.2%",".194",".297",".275",".341",".469",".350","101","49.2","880","-8.53","-0.50","20.6","-109.55","108.36","2.9","9.4","-15.1","","",""
"2001","TEX","1897","6388","246","890","844","97","32","8.6%","17.1%",".195",".300",".275",".344",".471",".349","108","117.8","910","51.91","5.17","22.4","-112.82","113.83","5.2","70.8","-61.8","","",""
"2017","HOU","2313","6271","238","896","854","98","42","8.1%","17.3%",".196",".309",".282",".346",".478",".349","121","146.8","911","172.26","17.26","33.7","-97.91","112.27","-0.4","162.6","-37.9","88.5%","81.2%","29.2%"
"2006","TOR","2329","6241","199","809","778","65","33","8.2%","14.5%",".179",".306",".284",".348",".463",".349","107","90.7","874","19.53","1.93","25.4","-107.17","109.53","-15.0","43.6","3.4","90.9%","84.0%","23.5%"
"2008","CHC","2345","6384","184","855","811","87","34","10.0%","18.6%",".165",".321",".278",".354",".443",".349","104","99.9","868","86.92","8.50","30.1","-111.28","117.45","6.1","33.2","64.1","86.8%","79.1%","24.6%"
"2011","TEX","2186","6261","210","855","807","143","45","7.6%","14.9%",".177",".304",".283",".340",".460",".347","112","154.8","858","121.34","11.78","33.9","-96.38","104.63","20.6","107.4","5.3","88.5%","82.3%","29.2%"
"2003","TOR","2278","6364","190","894","853","37","25","8.6%","17.0%",".175",".313",".279",".349",".455",".347","108","104.5","885","93.01","8.62","18.4","-103.05","110.40","-5.7","56.6","-88.7","87.3%","79.0%","22.4%"
"2001","SEA","2043","6474","169","927","881","174","42","9.5%","15.3%",".157",".320",".288",".360",".445",".347","116","108.8","912","174.06","17.44","44.4","-100.91","118.68","16.2","143.0","84.6","","",""
"2001","CLE","1901","6357","212","897","868","79","41","9.1%","16.9%",".179",".308",".278",".350",".458",".347","112","106.8","896","69.72","6.49","23.7","-110.20","115.52","-2.4","90.7","-67.4","","",""
"2000","TEX","1874","6364","173","848","806","69","47","9.1%","14.5%",".163",".310",".283",".352",".446",".347","97","35.5","871","-49.05","-4.39","10.2","-118.96","114.76","-7.0","-37.4","-76.8","","",""
"2020","NYM","902","2279","86","286","278","20","10","8.6%","21.9%",".187",".320",".272",".348",".459",".347","121","52.3","338","19.43","2.00","10.0","-42.40","42.37","-11.1","51.4","-9.3","85.9%","77.0%","32.9%"
"2007","DET","2269","6364","177","887","857","103","30","7.4%","16.6%",".171",".323",".287",".345",".458",".347","108","84.9","872","101.90","9.93","30.7","-106.32","112.00","8.0","75.1","19.4","86.9%","80.3%","24.8%"
"2019","MIN","2320","6392","307","939","906","28","21","8.2%","20.9%",".224",".300",".270",".338",".494",".347","116","148.8","953","134.10","12.99","31.0","-106.54","115.18","-8.4","120.4","-26.7","85.8%","76.8%","32.6%"
"2013","BOS","2264","6382","178","853","819","123","19","9.1%","20.5%",".169",".329",".277",".349",".446",".347","114","163.7","863","136.00","14.20","36.2","-108.61","118.35","13.3","116.7","11.9","85.6%","79.7%","27.7%"
"2006","CLE","2135","6303","196","870","839","55","23","8.8%","19.1%",".177",".324",".280",".349",".457",".347","108","81.9","873","95.44","9.16","21.2","-102.94","107.55","-2.9","62.8","-61.4","86.8%","79.2%","22.2%"
"2016","BOS","2284","6320","208","878","836","83","24","8.8%","18.4%",".179",".320",".282",".348",".461",".346","113","148.6","893","141.04","13.80","35.2","-108.86","117.89","10.6","109.9","15.9","89.2%","81.6%","29.3%"
"2019","NYY","2312","6245","306","943","904","55","22","9.1%","23.0%",".222",".306",".267",".339",".490",".346","116","141.7","928","163.93","15.49","32.5","-97.34","110.30","-0.8","128.4","-14.5","85.0%","75.8%","30.7%"
"2003","STL","2391","6466","196","876","827","82","32","9.0%","14.7%",".175",".302",".279",".350",".454",".346","109","95.1","888","133.74","13.58","34.4","-107.38","116.62","9.2","83.9","53.5","88.3%","80.6%","23.7%"
"2010","NYY","2313","6379","201","859","823","103","30","10.4%","17.8%",".169",".300",".267",".350",".436",".346","112","127.4","860","130.59","13.01","31.2","-104.38","113.44","12.1","101.5","-24.8","90.2%","82.6%","25.7%"
