"Season","Team","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA"
"2021","TOR","5247","3691","90.2","117.4","13.0","352","9.5%","1541","41.8%",".264","",".457","",".337",""
"2020","LAD","2316","1587","90.0","113.1","15.0","164","10.3%","695","43.8%",".256","",".483","",".350",""
"2019","NYY","6245","4190","90.0","120.6","13.4","373","8.9%","1678","40.0%",".267","",".490","",".346",""
"2019","BOS","6475","4454","89.9","115.0","12.9","320","7.2%","1774","39.8%",".269","",".466","",".338",""
"2015","SEA","6131","4281","89.9","119.0","11.0","278","6.5%","1658","38.7%",".249","",".411","",".313",""
"2021","BOS","5386","3675","89.9","118.6","13.6","355","9.7%","1540","41.9%",".261","",".447","",".332",""
"2018","BOS","6302","4425","89.8","117.5","12.4","343","7.8%","1757","39.7%",".268","",".453","",".340",""
"2020","SDP","2231","1520","89.8","115.7","11.7","151","9.9%","639","42.0%",".257","",".466","",".341",""
"2021","NYY","5281","3376","89.7","122.2","12.1","313","9.3%","1410","41.8%",".236","",".398","",".315",""
"2021","MIN","5317","3570","89.7","117.1","12.8","350","9.8%","1459","40.9%",".241","",".420","",".317",""
"2019","MIL","6309","4045","89.7","117.9","12.1","306","7.6%","1555","38.4%",".246","",".438","",".324",""
"2019","MIN","6392","4452","89.7","117.0","14.9","416","9.3%","1762","39.6%",".270","",".494","",".347",""
"2016","WSN","6201","4349","89.6","114.7","12.1","259","6.0%","1574","36.2%",".256","",".426","",".322",""
"2021","HOU","5429","3835","89.6","116.4","14.2","290","7.6%","1560","40.7%",".269","",".441","",".336",""
"2020","TOR","2263","1540","89.5","117.4","11.9","133","8.6%","643","41.8%",".255","",".441","",".329",""
"2020","ATL","2344","1509","89.5","115.6","14.7","156","10.3%","644","42.7%",".268","",".483","",".355",""
"2021","LAD","5482","3580","89.5","113.5","14.7","310","8.7%","1436","40.1%",".240","",".419","",".322",""
"2019","CLE","6124","4179","89.5","114.4","12.9","279","6.7%","1563","37.4%",".250","",".432","",".319",""
"2018","OAK","6255","4248","89.5","115.3","15.0","333","7.8%","1663","39.1%",".252","",".439","",".329",""
"2019","TBR","6285","4177","89.5","116.2","11.2","315","7.5%","1641","39.3%",".254","",".431","",".321",""
"2021","SDP","5312","3565","89.4","119.6","10.5","274","7.7%","1441","40.4%",".241","",".400","",".314",""
"2015","WSN","6117","4190","89.4","116.0","9.3","238","5.7%","1560","37.2%",".251","",".403","",".315",""
"2016","BAL","6089","4253","89.4","117.2","13.6","334","7.9%","1592","37.4%",".256","",".443","",".326",""
"2018","NYY","6271","4163","89.4","121.7","13.5","343","8.2%","1578","37.9%",".249","",".451","",".335",""
"2019","TEX","6204","4025","89.4","115.4","12.5","283","7.0%","1557","38.7%",".248","",".431","",".317",""
"2016","SEA","6227","4361","89.4","116.3","10.8","286","6.6%","1598","36.6%",".259","",".430","",".325",""
"2019","OAK","6269","4266","89.3","114.4","14.2","328","7.7%","1626","38.1%",".249","",".448","",".327",""
"2016","LAD","6164","4260","89.3","118.1","10.8","264","6.2%","1578","37.0%",".249","",".409","",".314",""
"2021","ATL","5279","3472","89.3","117.9","13.5","334","9.6%","1381","39.8%",".242","",".434","",".323",""
