"Season","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"2001","SEA","126.8","16.2","101.0","-16.4","143.0","84.6","22.9","201.9","452.4","44.4",""
"2019","HOU","211.1","-9.5","12.7","-15.1","201.6","-2.5","24.6","201.1","424.8","41.3","$330.1"
"2016","CHC","44.0","17.3","64.3","40.5","61.3","104.8","6.0","191.1","363.2","37.1","$297.2"
"2011","NYY","95.0","6.6","56.8","-17.1","101.6","39.7","25.6","183.4","350.2","37.0","$281.5"
"2015","TOR","124.9","11.0","21.7","-15.1","135.9","6.6","21.5","182.1","346.0","36.7","$293.8"
"2011","BOS","126.5","-12.2","32.5","-16.3","114.3","16.2","26.0","186.5","343.0","36.3","$275.7"
"2013","BOS","103.4","13.3","27.4","-15.5","116.7","11.9","24.5","182.4","335.5","36.2","$268.0"
"2010","CIN","44.5","12.7","59.2","37.6","57.2","96.8","3.7","186.2","343.9","35.7","$214.0"
"2003","ATL","95.9","9.5","6.6","40.1","105.3","46.7","12.3","197.0","361.3","35.6","$153.0"
"2016","BOS","99.3","10.6","31.3","-15.3","109.9","15.9","27.3","190.7","343.7","35.2","$281.2"
"2009","TBR","68.9","21.6","56.1","-14.4","90.5","41.8","28.8","189.5","350.6","35.1","$224.5"
"2002","SFG","70.6","2.8","33.8","38.3","73.4","72.1","12.8","191.9","350.3","35.1","$136.7"
"2007","PHI","43.0","20.6","36.6","41.9","63.6","78.5","13.3","202.6","357.9","34.9","$195.5"
"2019","LAD","91.4","11.9","8.3","43.4","103.3","51.7","5.7","197.5","358.3","34.8","$278.4"
"2018","LAD","87.9","11.4","-0.8","39.1","99.3","38.3","9.8","190.2","337.7","34.8","$278.1"
"2000","SFG","105.0","-1.3","5.0","48.7","103.6","53.7","9.5","207.5","374.3","34.7",""
"2003","STL","74.8","9.2","17.0","36.5","83.9","53.5","12.5","199.7","349.6","34.4","$148.0"
"2008","STL","56.4","-10.0","49.3","41.3","46.4","90.6","9.8","194.0","340.8","34.0","$210.6"
"2011","TEX","86.8","20.6","20.5","-15.2","107.4","5.3","25.4","182.0","320.1","33.9","$257.4"
"2007","NYY","156.5","11.9","-31.4","-15.8","168.4","-47.2","23.6","202.3","347.1","33.9","$189.6"
"2009","NYY","137.4","0.2","-10.2","-15.3","137.5","-25.5","29.9","196.4","338.3","33.8","$216.6"
"2012","LAA","96.3","13.5","20.8","-14.9","109.8","5.9","26.4","180.8","322.8","33.8","$219.9"
"2017","HOU","163.0","-0.4","-23.7","-14.3","162.6","-37.9","20.5","193.8","339.0","33.7","$269.9"
"2004","STL","53.3","18.9","19.0","41.6","72.1","60.7","16.9","195.4","345.1","33.6","$141.1"
"2012","NYY","94.9","2.3","27.9","-15.7","97.2","12.1","26.9","184.0","320.3","33.6","$218.1"
"2017","LAD","34.9","5.8","52.6","37.6","40.7","90.2","12.1","191.4","334.4","33.3","$266.2"
"2008","BOS","76.9","-4.7","51.2","-15.8","72.2","35.4","27.4","194.9","329.9","32.9","$203.9"
"2008","PHI","-18.9","23.6","84.9","38.5","4.7","123.4","9.7","191.0","328.8","32.8","$203.2"
"2003","BOS","163.7","3.5","-46.4","-15.2","167.2","-61.5","23.5","201.7","330.9","32.6","$140.1"
