Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2021,ARI,NL,27,68,0,2572,392,4.0,101,0.288,0.231,0.307,0.370,0.678,84,0.451,-74.4,-7.5,0.621,0.245,0.139,38.4
2021,LAD,NL,58,36,1,2500,495,5.2,97,0.292,0.246,0.339,0.425,0.763,110,0.570,50.1,4.8,0.744,0.309,0.179,46.1
2021,SEA,AL,50,44,1,2464,362,3.9,92,0.269,0.219,0.295,0.380,0.674,91,0.434,-33.9,-3.5,0.628,0.267,0.161,59.4
2021,ATL,NL,45,47,0,2411,455,4.9,109,0.290,0.240,0.322,0.428,0.751,95,0.548,-26.9,-2.9,0.726,0.308,0.188,64.4
2021,MIL,NL,56,39,1,2531,413,4.3,101,0.278,0.223,0.315,0.384,0.698,89,0.482,-50.7,-5.2,0.670,0.289,0.160,69.5
2021,MIN,AL,39,53,0,2440,435,4.7,93,0.283,0.244,0.317,0.427,0.744,108,0.522,36.3,3.4,0.702,0.291,0.183,51.4
2021,PIT,NL,36,57,0,2442,383,4.1,99,0.287,0.236,0.309,0.367,0.676,85,0.464,-64.2,-6.6,0.619,0.234,0.131,44.4
2021,BAL,AL,30,62,0,2445,377,4.1,98,0.288,0.237,0.303,0.391,0.694,91,0.456,-42.5,-4.4,0.631,0.246,0.154,42.7
2021,KCR,AL,37,55,0,2424,372,4.0,99,0.292,0.244,0.305,0.388,0.693,89,0.454,-50.3,-5.1,0.638,0.239,0.143,70.5
2021,BOS,AL,56,38,1,2465,458,4.9,102,0.307,0.256,0.320,0.436,0.756,102,0.541,7.8,0.6,0.710,0.271,0.179,50.3
2021,SDP,NL,55,41,1,2554,467,4.8,93,0.291,0.247,0.330,0.413,0.743,109,0.534,48.7,4.6,0.724,0.304,0.166,101.5
2021,NYY,AL,48,44,1,2419,392,4.3,97,0.285,0.235,0.323,0.395,0.717,98,0.479,-4.3,-0.5,0.670,0.288,0.159,37.1
2021,CHC,NL,46,47,0,2465,379,4.0,98,0.280,0.227,0.305,0.395,0.700,92,0.455,-39.0,-4.0,0.655,0.274,0.168,68.2
2021,CHW,AL,56,36,1,2369,442,4.9,96,0.316,0.257,0.340,0.421,0.761,111,0.543,54.1,5.3,0.731,0.287,0.164,52.8
2021,PHI,NL,47,45,1,2433,417,4.5,97,0.297,0.241,0.317,0.400,0.717,97,0.504,-10.0,-1.1,0.681,0.276,0.159,71.3
2021,CIN,NL,48,45,1,2491,438,4.6,111,0.298,0.246,0.328,0.411,0.739,90,0.516,-47.2,-4.8,0.692,0.269,0.164,39.7
2021,TBR,AL,55,38,1,2504,415,4.4,90,0.291,0.230,0.315,0.396,0.711,104,0.489,25.0,2.4,0.686,0.289,0.165,78.4
2021,CLE,AL,47,43,1,2349,358,4.0,102,0.271,0.230,0.298,0.399,0.697,87,0.451,-59.7,-6.1,0.646,0.268,0.169,64.4
2021,HOU,AL,56,38,1,2503,484,5.1,98,0.302,0.265,0.340,0.433,0.773,112,0.559,61.6,5.9,0.735,0.281,0.168,51.6
2021,OAK,AL,53,42,1,2509,423,4.4,92,0.274,0.232,0.312,0.404,0.716,103,0.497,17.9,1.6,0.680,0.283,0.172,57.5
2021,LAA,AL,46,46,1,2426,457,4.9,102,0.309,0.259,0.320,0.443,0.763,104,0.547,13.7,1.1,0.712,0.270,0.184,52.4
2021,MIA,NL,40,53,0,2472,376,4.0,99,0.298,0.234,0.302,0.374,0.675,85,0.450,-70.1,-7.1,0.629,0.244,0.140,76.9
2021,SFG,NL,58,34,1,2429,459,5.0,99,0.292,0.244,0.328,0.432,0.760,107,0.549,27.1,2.5,0.731,0.314,0.188,58.2
2021,WSN,NL,43,49,0,2381,422,4.6,94,0.310,0.257,0.328,0.413,0.741,108,0.519,34.8,3.3,0.691,0.258,0.156,59.7
2021,COL,NL,41,53,0,2465,398,4.2,109,0.296,0.244,0.311,0.391,0.701,82,0.477,-84.8,-8.5,0.655,0.251,0.147,66.3
2021,DET,AL,43,51,0,2457,381,4.1,94,0.301,0.236,0.307,0.388,0.695,94,0.459,-24.1,-2.5,0.650,0.263,0.152,75.0
2021,STL,NL,46,47,0,2455,373,4.0,94,0.271,0.230,0.301,0.380,0.680,91,0.449,-37.4,-3.8,0.630,0.249,0.150,62.6
2021,NYM,NL,48,42,1,2272,353,4.1,95,0.285,0.231,0.313,0.376,0.689,92,0.459,-30.3,-3.1,0.635,0.251,0.145,40.6
2021,TEX,AL,35,58,0,2491,367,3.9,98,0.279,0.231,0.300,0.381,0.682,87,0.435,-58.5,-6.0,0.627,0.252,0.151,72.9
2021,TOR,AL,48,42,1,2356,468,5.2,99,0.304,0.265,0.328,0.456,0.784,112,0.571,48.7,4.7,0.745,0.290,0.191,65.8
2020,ARI,NL,25,35,0,1583,258,4.2,102,0.283,0.241,0.313,0.391,0.704,89,0.447,-30.5,-3.0,0.655,0.248,0.150,32.9
2020,PHI,NL,28,32,0,1514,307,5.2,101,0.299,0.257,0.342,0.439,0.781,111,0.547,32.8,3.1,0.767,0.314,0.183,49.1
2020,ATL,NL,35,25,1,1569,369,6.0,111,0.322,0.268,0.349,0.483,0.832,113,0.613,39.6,3.6,0.824,0.339,0.215,37.6
2020,TEX,AL,22,38,0,1583,210,3.4,99,0.266,0.217,0.285,0.364,0.648,76,0.377,-65.8,-6.5,0.604,0.251,0.147,54.7
2020,NYM,NL,26,34,0,1549,329,5.5,98,0.320,0.272,0.348,0.459,0.807,121,0.568,62.5,5.9,0.776,0.289,0.187,32.5
2020,STL,NL,30,28,1,1410,221,4.0,97,0.290,0.234,0.323,0.371,0.694,92,0.430,-12.4,-1.2,0.652,0.259,0.137,26.6
2020,BAL,AL,25,35,0,1574,286,4.7,99,0.309,0.258,0.321,0.429,0.750,103,0.518,7.3,0.7,0.697,0.255,0.171,30.5
2020,TBR,AL,40,20,1,1566,291,4.8,93,0.300,0.238,0.328,0.425,0.753,112,0.528,39.0,3.7,0.746,0.330,0.187,60.0
2020,BOS,AL,24,36,0,1604,312,5.1,104,0.321,0.265,0.330,0.445,0.775,105,0.549,12.5,1.1,0.733,0.280,0.180,44.8
2020,SFG,NL,29,31,0,1563,317,5.2,100,0.311,0.264,0.335,0.451,0.785,113,0.547,36.1,3.3,0.745,0.289,0.187,30.8
2020,WSN,NL,26,34,0,1529,303,5.1,99,0.308,0.264,0.336,0.433,0.769,110,0.536,31.0,2.8,0.739,0.278,0.170,44.0
2020,CHC,NL,34,26,1,1562,250,4.1,101,0.270,0.220,0.318,0.387,0.705,91,0.439,-21.1,-2.1,0.676,0.294,0.167,36.2
2020,SEA,AL,27,33,0,1560,235,3.9,93,0.281,0.226,0.309,0.370,0.678,91,0.433,-18.5,-1.9,0.647,0.269,0.144,54.5
2020,TOR,AL,32,28,1,1574,301,5.0,98,0.297,0.255,0.325,0.441,0.766,109,0.541,25.8,2.4,0.735,0.300,0.186,48.0
2020,CHW,AL,35,25,1,1579,307,5.1,99,0.314,0.261,0.326,0.453,0.779,112,0.549,30.5,2.9,0.736,0.286,0.193,33.1
2020,KCR,AL,26,34,0,1569,258,4.3,101,0.297,0.244,0.309,0.402,0.711,92,0.472,-26.4,-2.7,0.670,0.260,0.159,57.0
2020,CIN,NL,31,29,1,1512,245,4.2,112,0.245,0.212,0.312,0.403,0.715,83,0.445,-48.7,-4.8,0.693,0.332,0.191,43.9
2020,HOU,AL,29,31,0,1583,262,4.3,100,0.273,0.240,0.312,0.408,0.720,95,0.475,-16.0,-1.6,0.671,0.270,0.168,33.4
2020,LAA,AL,26,34,0,1600,302,4.9,102,0.284,0.248,0.332,0.430,0.763,105,0.535,14.3,1.3,0.732,0.307,0.182,33.7
2020,MIA,NL,31,29,1,1529,250,4.2,102,0.306,0.244,0.319,0.385,0.703,89,0.449,-30.1,-2.9,0.668,0.258,0.141,55.1
2020,CLE,AL,35,25,1,1586,248,4.1,103,0.277,0.228,0.317,0.372,0.689,85,0.450,-38.6,-3.9,0.651,0.274,0.145,35.1
2020,SDP,NL,37,23,1,1542,321,5.3,95,0.291,0.257,0.333,0.466,0.798,121,0.559,59.0,5.5,0.795,0.334,0.209,69.7
2020,OAK,AL,36,24,1,1541,259,4.4,94,0.271,0.225,0.322,0.396,0.718,101,0.482,8.5,0.8,0.694,0.308,0.171,38.1
2020,COL,NL,26,34,0,1605,269,4.3,112,0.316,0.257,0.311,0.405,0.716,83,0.460,-57.8,-5.6,0.662,0.243,0.148,50.4
2020,MIN,AL,36,24,1,1530,267,4.5,96,0.283,0.242,0.315,0.428,0.743,105,0.500,12.7,1.2,0.698,0.286,0.186,24.3
2020,MIL,NL,29,31,0,1565,236,3.9,104,0.278,0.223,0.313,0.389,0.703,87,0.412,-36.0,-3.5,0.655,0.283,0.166,25.0
2020,NYY,AL,33,27,1,1512,305,5.2,97,0.280,0.247,0.342,0.447,0.789,117,0.565,48.7,4.6,0.776,0.342,0.200,42.0
2020,DET,AL,23,35,0,1493,236,4.1,98,0.314,0.245,0.303,0.397,0.700,92,0.454,-24.0,-2.4,0.633,0.237,0.152,29.1
